འང-དེ	vacant
རིམ-གྲོར	{C}attendant; who attend upon
རིམ-གྲོར-བྱ-བ	{C}respect; to resort to; attendent
རིམ-གྲོར-བྱས-པ	{C}service; serve upon; attendance; attend to their needs
རིམ-གྱིས	{C}tapering; regularly; in due time; after some time; by and by [e.g.: anu pūrveṇa = to the East?]
རིམ-གྱིས-དམའ-བ-ལགས-པ	{C}gradually slopes away; slopes away
རིམ-པ	{C}gradual action; going after
རིམ-པར-ཡིན-པར	{C}progressive steps; feet
རིན-ཆེ-བ	{C}of great value
རིན-ཆེན	{C}precious jewel; gem
རིན-ཆེན-འདོད-པ	{C}desirous of jewels
རིན-ཆེན-བཀའ-སྟེ	{C}filled with precious things
རིན-ཆེན-གྱི-གླིང	{C}treasure island
རིན-ཆེན-མཐའ	{C}jewel-cusp
རིན-པོ-ཆེ-བདུན-གྱི-རང-བཞིན-ལས-གྲུབ-པ	{C}made/built of the seven precious things
རིན-པོ-ཆེ-དོན-དུ-གཉེར-བ	{C}one who desires jewels
རིན-པོ-ཆེ-ཐམས-ཅད-ལ-སྒྱུར-པ	{C}consisting of all precious things
རིན-པོ-ཆེ-ཏོག	{C}Ratnaketu [p.n. of a Bodhisattva in the Buddha-land of Buddha Akṣobhya]
རིན-པོ-ཆེའི-འབྱུང-གནས	{C}source of wealth; jewel-mine
རིན-པོ-ཆེའི-མཛོད	{C}store of treasure
རིན-པོ-ཆེའི-མཛོད-མང-པོ-བསགས-པ-དང-ལྡན-པ	{C}one who has a vast store of treasures
རིན-པོ-ཆེའི-ཕུང-པོ	{C}heap of treasure
རིན-པོ-ཆེའི-ཏོག	{C}Ratnaketu [p.n. of a Bodhisattva in the Buddha-land of Buddha Akṣobhya]
རིན-ཐང-ཆུང	of little value; {C}inferior value
རིན-ཐང-ཆུང-ངུར	{C}cheaply
རིན-ཐང-མེད-པ	{C}priceless
རིན-ཐང-མེད-པ-རྙེད-འགྱུར	{C}priceless
རིང	{C}many; all; very much; broad; vast; large; far distant; extensive; extend far; far; distance
རིང-འགྱུར	{C}far distant
རིང-བ	{C}extensive; extend far; far; far distant; distance; length; distance
རིང-བར	{C}for so long; for a long time
རིང-དུ	distance; far distant
རིང-དུ-བྱེད	{C}get away from; keep aloof from; keep far away from; remain far from
རིང-དུ-བྱེད-པ	{C}get away from; keep aloof from; keep far away from; remain far from
རིང-དུ-གྱུར-བ	distance; far distant; gets away from; become distant; remain distant
རིང-དུ-སྤྱད-པ	{C}has for long coursed in; has traversed for a long time
རིང-ནས-ཐེག-ཆེན-ཞུགས	{C}set out for a long time in the vehicle
རིང-པོ-མི-ཐོགས	{C}slowly; an excessively long time [e.g.: na cireṇa, before long]
རིང-པོ-མི-ཐོགས-པར	{C}slowly; an excessively long time [e.g.: na cireṇa, before long]
རིང-པོར-མི-ཐོགས	{C}slowly; an excessively long time [e.g.: na cireṇa, before long]
རིས-སུ-བཅད-ཅིང	{C}the cutting off of his share
རྗེད	{C}forget
རྗེས	{C}word; verse; foot; tracs; tracks; verbal expression
༅རྗེས-འགྲོ༏-ཆོས-སྒོ-རྗེས-འགྲོ	{GD:260}concomitance; {GD:275} positive concomitance
རྗེས-དཔག	{GD:96} inference
རྗེས-ཁྱབ	{GD:519} positive pervasion
རྗེས-མཐུན-པར	{C}with reference to
རྗེས-སློབ	{C}train regularly
རྗེས-སུ	afterwards; later
རྗེས-སུ-འབྲང	{C}going to; following; consequence; result; pursued
རྗེས-སུ-འབྲང-བ	{C}going to; following; consequence; result
རྗེས-སུ-འབྲེལ-བྱས-ནས	{C}has communed with
རྗེས-སུ-འབྲེལ-པ	{C}pursue; revolve around; conform to
རྗེས-སུ-འགྲོ-བ	{GD:783} second criterion
རྗེས-སུ-འཇུག	{C}comply with; imitate; last long; pursue; follow after; complies with; come to (where he is); go likewise; go with
རྗེས-སུ-འཇུག-པ	{C}comply with; imitate; last long; pursue; follow after; complies with; come to (where he is); go likewise; go with; approached; conformed to; keep moving; enter together with; entrance
རྗེས-སུ-བརྙེས-པ	{C}reached
རྗེས-སུ-བརྟག-པ	{C}pondered on
རྗེས-སུ-བརྟག-པར-བགྱི-སྟེ	{C}should repeatedly consider
རྗེས-སུ-བརྟགས	{C}pondered on
རྗེས-སུ-བསམ-པ	{C}thought over
རྗེས-སུ-བསླབ	{C}train regularly
རྗེས-སུ-བསྲུང-བ	{C}which can be preserved(?)
རྗེས-སུ-བསྟན-པ	{C}admonition; instruction
རྗེས-སུ-བསྟན-པའི-ཆོ-འཕྲུལ	{C}miraculous admonition
རྗེས-སུ-བཙལ	{C}searches (for); try to determine; seeks for; decides to look for
རྗེས-སུ-བྱེད-པར-འགྱུར-ཞིང	{C}imitate
རྗེས-སུ-བྱུང-བའི-རྟོག-པས-ལིང-པོ	{GD:151} arising later than the perception of the collection
རྗེས-སུ-བྱུང-བའི-རྟོག-པས-ལིང-པོ-གཅིག-ཏུ-བཟུང-བ	{C}cataract; covering; membrane
རྗེས-སུ-བཟུང-བ	{C}help; favor
རྗེས-སུ-ཆགས-པ	{C}affection
རྗེས-སུ-དགའ-བར-བྱེད	{C}encourage(?); acquiescent
རྗེས-སུ-དཔག-པར-བྱ-བ	{C}measured; proved; inferrable
རྗེས-སུ-དཔྱད-པ	 {C}pondered over; reflects|{C}pondered over; reflects 
རྗེས-སུ-དཔྱོད-པ	{C}follow; pursue
རྗེས-སུ-གནང-བ	{C}sanction; ordained
རྗེས-སུ-གཏོད	{C}I transmit; I entrust
རྗེས-སུ-མི-འཇུག-མིན	{C}avoid; get rid of; abandon; give up; reject
རྗེས-སུ-མཐུན-བྱེད	{C}comply with
རྗེས-སུ-མཐུན-པའི-བཟོད-པ	{C}adaptable patience
རྗེས-སུ-མཐུན-པའི-ཆོས	{C}logical sequence of Dharma
རྗེས-སུ-མཐུན-པའི-ཆོས-ལ-སྤྱོད-ན	{C}one who courses in the logical sequence of Dharma
རྗེས-སུ-མཐུན-པར	{C}in agreement (with reality); in direct order
རྗེས-སུ-མཐུན-པར-བྱེད	{C}act in obedience to
རྗེས-སུ-མཐུན-པར-སྤྱོད	{C}imitates
རྗེས-སུ-མཐུན-པས-དགའ-བར-བྱའོ	{C}encourage(?); acquiescent
རྗེས-སུ-རྒྱུ-བ	{C}infested by; roams along
རྗེས-སུ-རིག-པར-བྱ-སྟེ	{C}approach; conform to; follow (after); regain; emulate; arrive (at); pursue; follow up
རྗེས-སུ-རྟོག-པ	{C}repeatedly consider
རྗེས-སུ-རྟོགས	{C}understand; (one who has) understood; thoroughly understood
རྗེས-སུ-རྟོགས-པ	{C}understanding; recognition
རྗེས-སུ-སྦྱོར-བ	{C}preoccupation
རྗེས-སུ-སློབ-པའི-ཚུལ	{C}engaged in learning; engaged in regular training
རྗེས-སུ-སོང-བ	{C}approach; conform to; follow (after); regain; emulate; arrive (at); pursue; follow up; be pursued
༅རྗེས-སུ-སྤྱད-པ༏-རྗེས-སུ-དཔྱད-པ	{C}pondered over; reflects
རྗེས-སུ-སྟོན	{C}instruct
རྗེས-སུ-སྟོན-བྱེད	{C}one who instructs
རྗེས-སུ-སྟོན-པ	{C}admonish; instruct
རྗེས-སུ-ཡི-རང	{C}enjoined; rejoicing; rejoice; jubilation; one who rejoices; is approved
རྗེས-སུ-ཡི-རང-བ	{C}rejoicing; jubilation; rejoice
རྗེས-སུ-ཡི-རང-བའི-མོད-ལས-བྱུང-བ	{C}connected with jubilation
རྗེས-སུ-ཡོངས-སུ-བཟུང-བར	{C}assisted
རྗེས-སུ-ཞུགས-པ	introduction; enter together with; entered into
རྗེས-ཐོབ-པ	{C}arrive at; reach
རྗོད	{GD:413} to signify
རྗོད-བྱེད	{GD:439} signifier
རྗོད-བྱེད-ཀྱི-སྒྲ	{GD:433} signifier
རྐང-པ-གཉིས-ཀྱི-མཐིལ	{C}sole of the foot
རྐང-པ-སྐུད-པ-དང-བྲལ-བ	{C}frugal
རྐང-པའི-མཐིལ	{C}sole of the foot
རྐྱེན	{C}conditioned; reason
རྐྱེན-དུ-མ-ཡིན-པ	{C}non-condition(ed)
རྐྱེན-རྒྱལ	{C}Single Buddha
རྐྱེན-རྣམས-ཚོགས-ནས	{C}full complement of conditions
རླབས	ripple
རླབས-པོ-ཆེ	{C}sublime; exalted; an uncommon degree of
རློམ	{C}mental attitude; conceitedness; minding
རློམ-པ	{C}mental attitude; conceitedness; minding
རློམ-སེམས	{C}feel conceited; feel superior to; mental attitude; thinks; fancies (himself for); thinks of; minds about; thinks about; thinks with regard to; minds; puts his mind to; sets above; cares about; conceit; vain conceit; minding; conceitedness; self-conscio
རློམ-སེམས-དང-བརྙས-པ	{C}contemptuousness
རློམ-སེམས-དང-བརྙས-པའི-སེམས-བསྐྱེད-པ	{C}production of a proud thought
རློམ-སེམས-ཀྱི-ལྟུང-བའི-གནས	{C}offence of conceitedness
རློམ-སེམས-མེད-པ	{C}to be devoid of mental acts
རློམ-སེམས-སུ-བྱས	{C}put his mind to
རློམ-སེམས-སུ-བྱེད	{C}despise; feel conceited; feel superior to; looks down upon
རློམ-སེམས-སུ-བྱེད-བརྙས-པར-བྱེད	{C}looks down upon
རློམ-སེམས-སུ-གྱུར-པ	{C}imagining
རློམ-སེམས-སུ-མི-འགྱུར-བ	{C}no conceit
རློམ-སེམས-སུ-མི-བྱ-བ	{C}no conceit; does not put his mind to conceit; absence of conceit
རློམ-ཚོད-ཀྱི-ཆོས-ཅན	{GD:244} conceived subject [as opposed to real subject (song tshod)]
རློམ-ཚོད-ལ	{GD:244} to conceive [of something]; {GD:254} conceptual point of view; {GD:580} imagine
རླུང	{C}air
རླུང-གི-འཁོར-ལོ	{C}wind-wheel
རླུང-གི-ཁམས	{C}wind-element
རྨི-ལམ	{C}in his dreams; in a dream
རྨི-ལམ-དུ-རྨིས-པ	{C}one who sees a dream
རྨི-ལམ-རྨིས-པ	{C}one who sees a dream
རྨོངས-པ	{C}ignorant; stupefaction; stupefied; be bewildered
རྨོངས-པ-བྱེད-པ	become deluded; deluded person; ignorant; delusion; fool
རྨོངས-པར-འགྱུར	{C}is stupefied; get stupefied
རྨུགས-པ	sloth; torpor; laziness
རྣ-བ-རྐང-ལག-སྣ-གཅོད	{C}amputation of ears, hands, feet, and nose
རྣ-བམ-གསལ-བ	{C}quivering
རྣ-བརྗོད-པ	{C}recommend
རྣལ-འབྱོར-བརྩོན	{C}yogins who exert themselves
རྣལ-འབྱོར-བྱ-བར-འགྱུར-བ	{C}make endeavors; make efforts
རྣལ-འབྱོར-ལྡན	{C}a devoted yogin
རྣལ-འབྱོར-རབ-ཏུ-བརྩོན	{C}intent on his practice
རྣལ-འབྱོར-སྤྱོད-པ-བ-རྣམ-རྫུན-པ	{GD:580} Yogācāra False Aspectarian school
རྣམ	{C}specific constitution; variety; way
རྣམ-འཇོམས-པ	{C}oppose
རྣམ-འཕེལ	{C}increase; growth
རྣམ-བསམས	{C}reflection
རྣམ-བཞག-མེད-པ	{C}unconcentrated
རྣམ-ཆད-པ	{C}removed
རྣམ-དག	{C}pure
རྣམ-དག-གྱུར	{C}be cleansed
རྣམ-དག-པ	{C}purified; pure
རྣམ-དཔྱོད-པ	{C}who accomplish
རྣམ-གཅོད	{GD:142} preclusion
རྣམ-གྲངས	{C}specification; demonstration; method; manner; revolution; in turn (e.g.: {C}syāt paryāyo yena paryāyeṇa, would it be feasible to say that...?; it is quite possible that; syāt paryāyo yad, would there be a reason to assume that...?; it is possible that)
རྣམ-གྲངས-དུ-མར	{C}by various methods
རྣམ-གྲངས-དུ-མས	{C}by various methods
རྣམ-གྲོལ	{C}freed (from); emancipated; free
རྣམ-ཀུན-མངོན-རྫོགས-རྟོགས-པ	{C}full understanding of all modes/aspects
རྣམ-ལོག	{C}turning away from
རྣམ-མང-གཟུགས-དག	{C}in great variety; different in form; one of many
རྣམ-མང-པོ	{C}manifold; in many ways
རྣམ-མི-རྟོག-པ	{C}undiscriminated; without discrimination; non-discrimination; he should not discriminate
རྣམ-པ	{C}specific constitution; variety; way; way; various; distinction; difference; dissention; break(ing up); differentiation; divided; division; the one ... the others
རྣམ-པ-བཅུ-གཉིས-སུ	{C}with its twelve aspects
རྣམ-པ-བཅུས	{C}of ten kinds
རྣམ-པ-བརྒྱད	{C}of eight kinds
རྣམ-པ-ཆད-པ	{C}removed
རྣམ-པ-དང-བཅས-པར-སྨྲ-བ	{GD:135} perception mediated by aspects
རྣམ-པ-དགོད-པ	{C}respective determination; distribution; abiding; definite distinction; distinctive definition
རྣམ-པ-དུ	{C}of how many kinds?
རྣམ-པ-དུ-མ	{C}manifold; various (aspects)
རྣམ-པ-གང-ཡིན	{C}its class as it is
རྣམ-པ-གཅིག-ཏུ-སྒྱུར-པ	{C}one single aspect
རྣམ-པ-གཅིག-ཏུ-སྟོན	{C}one single flow
རྣམ-པ-གསུམ	{C}of three kinds
རྣམ-པ-གཏོད-པ	{GD:562} [external objects] casting their aspect
རྣམ-པ-ཀུན-ཏུ	{C}at all times; from all sides
རྣམ-པ-མང-པོ	{C}in many ways
རྣམ-པ-མེད-པ	{C}modeless
རྣམ-པ-མེད-པར-སྨྲ-བ	{GD:135} no mediation of perception;{GD:585} Proponents of No-Aspect school [another name for the False Aspectarian school (rnam rdzun ba)]
རྣམ-པ-སྣ-ཚོགས	{C}different species/kinds; manifold; various
རྣམ-པ-ཐམས-ཅད	{C}at all times
རྣམ-པ-ཐམས-ཅད-དུ	{C}in all their modes
རྣམ-པ-ཐམས-ཅད-མཁྱེན-པ-ཉིད	{C}knowledge of all modes/aspects
རྣམ-པ-ཐམས-ཅད-རྟོགས	{C}full understanding in all their modes
རྣམ-པ-ཙམ	{C}specific constitution; variety; kind; way
རྣམ-པར-འབྲལ-བ	{C}lacking in; deprived of; without; does not possess
རྣམ-པར-འབྱེད-པ	{C}analysis; analyze; classify; revelation; explanation; comment upon; investigation; discernment
རྣམ-པར-འབྱེད-པར-བྱེད	{C}analyze; classify
རྣམ-པར-འདྲེན-པ	{C}guide; leader
རྣམ-པར-འགྲེལ-བ	{C}uncover; make clear
རྣམ-པར-འགྲེལ-བར-བྱེད	{C}uncover; make clear
རྣམ-པར-འགྲོལ-བ	{C}delivering; unfettered
རྣམ-པར-འགྱུར-བ-མེད-པའི-ཆོས-ཅན	{C}not liable to reversal
རྣམ-པར-འཇིག-པར-འགྱུར	{C}is bound to incur a fall
རྣམ-པར-འཇིག-པར-འགྱུར-བ	{C}cease to become
རྣམ-པར-འཇིག-པར-བགྱིད-པ	{C}shatterer
རྣམ-པར-འཇིག-པར-མི-བགྱིད-པ	{C}which does not destroy anything
རྣམ-པར-འཁྲུག-ཅིང	{C}undisturbed
རྣམ-པར-འཁྲུག-མེད	{C}immovable; undisturbed
རྣམ-པར-འཁྲུགས-པ	{C}disturbance
