འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
ནང-མདངས	inwardly directed glow (of being)*
ནང-པ	buddhist
ནང-སློང	internal upheaval
ནང-སྡུད-པ	to turn inward (on itself)
ནང-ན-གནས-པ	abiding/ to abide inwardly
ནང-བདག-ལྟའི-རུ-དྲ	inner rudra of viewing in terms of identity
ནང-སྟོང-པ	inner emptiness
ནང-གི-བྱེད-པ	inner agent
ནང-གི-འོད-ལྔ	five inner aspects of illumination
ནར-མར	constant(ly)
ནར-སོན-པ	to continue without a break; to reach maturity/ majority
ནས	(from) within . . .
ནས-བཟུང-སྟེ	{.་.་.་ནས་བཟུང་སྟེ} beginning with . . . ; from the point onward . . . ; given that . . . ; henceforth
ང	I; I/ me
ང-རྒྱལ	pride; assurance
ང-རྒྱལ-ལས-ཀྱང-ང-རྒྱལ	overweening pride
ངའོ-སྙམ-པའི-ང-རྒྱལ	pride of/ based on egoism
ངག	speech; (ordinary) speech
ངལ-གསོ-བ	(to (try to) take) rest/ repose/ relax; to refresh (oneself)
ངལ-བསོ-བ	(to (try to) take) rest/ repose/ relax; to refresh (oneself)
ངན-པ	ignoble; contrary/ perverse
ངན-སོང	lower (state of) rebirth; evil destiny
ངང	. . . (gi) ngang (la) skyong/ bskyang ba - to maintain (the) continuity (of . . . ). scope (for rig pa'i ngang, "scope of awareness"); (true) state/ context; fundamental nature/ state; isc. continuity; isc. embrace; isc. natural state; isc. while . . . ; is(vf)c. quality. {ངང་ཚུལ} sphere/ context; fundamental nature/ state of affairs/ process; situation; isc. ramification; isc. the fact that . . .
ངང-བཞག	to rest/ settle in the fundamental nature
ངང-བཞེངས	manifestation of the nature [?]; isc. to experience intuitively [cf. CYDz 87.a.5]
ངང-དུ	within a/ the state/ context/ sphere of . . . ; isc. while . . .
ངང-དབ༹ངས	inherent limpidness; ginnately unsullied/ limpid; isc. innate lucidity/ clarity
ངང-གིས	automatically; inevitably; necessarily; by its very nature; as a matter of course; innately/ inherently; isc. self- ; isc. automatically; isc. it is in the nature of things that . . .
ངང-གསལ	innate lucidity
ངང-མདངས	innate inner glow
ངང-སངས	innately pristine (state)
ངང-སྒོམ	intuitive meditation
ངང-ཚུལ	sphere/ context; fundamental nature/ state of affairs/ process; situation; isc. ramification; isc. the fact that . . .
ངང-ཉིད-ཀྱིས	{ངང་ཉིད་ལས} due to the very nature of . . .
ངང-ཉིད-ལས	{ངང་ཉིད་ཀྱིས} due to the very nature of . . .
ངར-འཛིན	to conceive of/ grasp at/ reify an "I"; to invest with a sense of "I"/ ego/ selfhood
ངར-ཅན	intense/ forceful; precise
ངར-ལྡན	intense/ forceful; precise
ངེས-འབྱུང	certainty of release (from cyclic existence)
ངེས-དོན	definitive meaning/ truth/ significance
ངེས-གསང	definitive secret
ངེས-མེད	{ངེས་པ་མེད་པར} indeterminate(ly); arbitrary; (at) random; unpredictable/ y; changeable/ bly; isc. not finite
ངེས-པ	certain/ sure; to define (with certainty)/ ascertain/ make certain; - to determine/ establish; to define
ངེས-པའི	definitive
ངེས-པར	definitive(ly)/ definite(ly); certainly; surely
ངེས-རྫོགས	definitive perfection; definitively complete; {ངེས་པར་རྫོགས་པ} definitive perfection
ངེས-ཤེས	certainty/ certain knowledge
ངེས-ཏིག	guarantee
ངེས-པ-ཅན	imperative; definitive/ conclusive
ངེས-པ-ལྔ	{ངེས་པ་ལྔ་ལྡན} - (endowed with) fivefold certainty
ངེས-པ-མེད-པར	indeterminate(ly); arbitrary; (at) random; unpredictable/ y; changeable/ bly; isc. not finite
ངེས-པ-རྙེད-པ	to gain certainty
ངེས-མེད-ཀློང	expanse in which everything is indeterminate
ངེས-འབྱེད-ཆ-མཐུན	decisive (and anticipatory) phase; decisive phase [of the path of application] that accords with/ presages/ anticipates [the path of seeing], which constitutes a decisive breakthrough [that represents a shift from the - path of ordinary mortal individuals to that of spiritually superior individuals]; isc. "watershed" experiences
ངེས-པར-ཐག-གཅོད-པ	{ངེས་པར་ཐག་ཆོད།་ངེས་པར་ཐག་བཅད་པ} - decisive experience of certainty (concerning . . . )
ངེས-པར-འབྱིན-པ	deliverance; certain(ty of) deliverance
ངེས-པར-འབྱེད-པ	to distinguish/ differentiate thoroughly
ངེས-པར-བཏགས-པ	fixated labeling
ངེས-པར-རྫོགས-པ	definitive perfection; definitively complete
ངེས-པའི-དོན	definitive meaning/ truth/ significance
ངོ	"what is inherent in samsara"]
ངོ-བོ	essence; . . . gi ngo bo - the essence of . . . ; isc. . . . in (its) essence; isc. is of the essence of. essence (of being)essence; identity (iso. something's individual essence)
ངོ-ཁ	( . . . gi) ngo kha la - in relation to . . . [dialect word]
ངོ-ལྐོག	hypocrisy
ངོ-ཤེས	to recognize; recognition
ངོ-ཏི	real crux [KOT]
ངོ-ཚ	{ངོ་ཚ་ཤེས་པ} modesty; self-respect; shame
ངོ-འཕྲད-པ	{ངོ་འཕྲོད་པ} to be directly introduced (to one's true nature); to have (something) pointed out directly
ངོ-སྤྲད-པ	{ངོ་སྤྲོད་པ} direct introduction (to one's true nature)/ pointing out; to introduce/ point out directly
ངོ-ལྐོག-མེད-པ	without hypocrisy
ངོ-ཚ-ཤེས-པ	shame; modesty; self-respect
ངོ-ཚ-མེད-པ	immodest(y); shameless(ness)
ངོ-འཕྲོད-པ	{ངོ་འཕྲད་པ} to be directly introduced (to one's true nature); to have (something) pointed out directly
ངོ-བོ-ཉིད	{ངོ་བོ་ཉིད་ཀྱིས} essence (of being) itself; very essence of . . . ; isc. . . . in its very essence
ངོ-བོ-ཉིད-ཀྱི-སྐུ	svabhavikakaya; dimension/ stratum of the very essence (of being) itself
ངོ-བོ-མེད-པ	has no finite essence; does not exist in essence
ངོ-བོ-ལམ-བྱེད	forging the path as/ through/ with the essence (of being)
ངོ-སྤྲོད-པ	{ངོ་སྤྲད་པ} direct introduction (to one's true nature)/ pointing out; to introduce/ point out directly
ངོ-ཤེས-པ	to recognize; recognition
ངོ-མཚར-བ	(to feel a sense of ) wonder/ wonderment
ངོ-རང-ཐོག-ཏུ-འཕྲོད-པ	to be directly introduced to the essential nature in all its immediacy
ངོམ-པ	{ངོམས་པ} to exhibit/ flaunt; to be sated/ assuaged/ contented with
ངོམས-པ	to exhibit/ flaunt; to be sated/ assuaged/ contented with
ངོར	. . . (gi) ngo(r)/ ngo ka la - in the essence of . . . ; (on) the level of . . . ; in light/ view of . . . ; with respect to . . .; given the condition (of) . . . ; isc. vis-à-vis
ངོས-གཟུང-བ	{ངོས་བཟུང་བ} to identify/ pinpoint; isc. to recognize
ངོས-གཟུང-བྲལ-བ	free of (being) anything identifiable
ངོས-བཟུང-བ	{ངོས་གཟུང་བ} to identify/ pinpoint; isc. to recognize
ནོང-པ-བཤགས-པ	to confess/ confession of errors
ནོངས-པ	error
ནོར	wealth
ནོར-བ	to err/ make a mistake
ནོར-བུ	gem
ནོར-ས	(point of) potential error
ནུ-མ	breast
ནུབ-མེད	{ནུབ་པ་མེད་པ} that is never lowered/ never sinks/ falls/ falters/ declines
ནུབ-པ	to subside/ sink/ be lowered/ fall/ falter; isc. to disappear/ fade from view; to be eclipsed
ནུབ-པ-མེད-པ	that is never lowered/ never sinks/ falls/ falters/ declines
ནུས-མཐུ	energy and power/ force
ནུས-པ	creative/ energetic potential energy/ (cap)ability/ capacity/ potential; to be able/ capable
ནུས-པ-ཅན	endowed with the capacity for . . .
ཉག-གཅིག	unique; sole; isc. oneness; isc. solely . . . ; isc. totality
ཉག-གཅིག-ཏུ	solely
ཉམས	experience; ephemeral meditative experience; fleeting experience. {ཉམས་ཀྱི་སྣང་བ} visions of (ephemeral) (meditative) experience
ཉམས-ཆག	impaired and broken/ impairment and breaking of/ to impair and break commitments
ཉམས-དགའ	agreeable/ enjoyable/ pleasant; isc. convincing enough
ཉམས-ཁྲིད	experiential teaching
ཉམས-ལེན	practice; {ཉམས་སུ་ལེན་པ} to apply/ implement/ (put into) practice; to incorporate into (one's) experience; practice/ practical application
ཉམས-མྱོང	personal/ first-hand experience (of)
ཉམས-པ	impairment (of vow/ precept); impaired
ཉམས-དགའ-བ	pleasant; agreeable/ enjoyable/ pleasant; isc. convincing enough
ཉམས-འོག-ཏུ-མི-ཆུད-པ	not grounded in experience
ཉམས-འོག-ཏུ-ཆུད-པ	grounded in experience
ཉམས-སུ-ལེན-པ	practice; to apply/ implement/ (put into) practice; to incorporate into (one's) experience; practice/ practical application
ཉམས-སྣང-གོང-འཕེལ	enrichment of meditative experience*
ཉམས-གོང-འཕེལ	{ཉམས་སྣང་གོང་འཕེལ} enrichment of meditative experience*
ཉན-ཐོས	shravaka; shravaka/ hearer of the teachings
ཉེ-བསྙེན	{ཉེ་བར་བསྙེན་པ} (phase of) intimate approach
ཉེ-རྒྱུ	secondary cause; {ཉེ་བའི་རྒྱུ} (more) immediat/ intimate/ proximate/ secondary cause
ཉེ-བར-ཞི-བ	thorough subsidence; to thoroughly subside
ཉེ-བར-ལེན-པ	proximate/ material cause; perpetuation; to perpetuate/ be in intimate rapport with; perpetuation (of conditioned existence) (one of twelve links of interdependent connection)
ཉེ-བར-ལེན-པའི-རྒྱུ	perpetuating cause
ཉེ-བར-ལེན-པའི-ཕུང-པོ	(mind-body) aggregates that perpetuate (cyclic existence) as its material cause
ཉེ-བར-སྡུས-པ	{ཉེ་བར་སྡུ་བ} to be reinforced
ཉེ-བར-སྡུད-པ	to reinforce
ཉེ-བར-བསྙེན-པ	(phase of) intimate approach
ཉེ-བར-མཚོན-པ	to characterize/ illustrate/ identify precisely/ fully
ཉེ-བར-བསྡུས-པ	{ཉེ་བར་སྡུ་བ} to be reinforced
ཉེ-བར-བསྡུད-པ	to reinforce
ཉེ-ཉོན-ཉི-ཤུ	{ཉེ་བའི་ཉོན་མོངས་པ་ཉི་ཤུ} twenty secondary afflictive emotions
ཉེ-བའི-རྒྱུ	(more) immediat/ intimate/ proximate/ secondary cause
ཉེ-བའི-ཉོན-མོངས-པ-ཉི-ཤུ	twenty secondary afflictive emotions
ཉེ-བའི-རིན-ཆེན-བདུན	seven most precious possessions
ཉེ-རྒྱུའི-ལམ	swift path
ཉེར-ཁོ	necessary element/ (pre)requisite
ཉེར-སྤྱོད	traditional sense offerings
ཉེར-ཐོབ	intimate/ full/ complete/ profound/ further attainment
ཉེར-ཞི	{ཉེ་བར་ཞི་བ} thorough subsidence; to thoroughly subside
ཉེར-ཁོ-བ	necessary element/ (pre)requisite
ཉེས-དམིགས	shortcoming/ drawback/ deficiency
ཉེས-པ	fault
ཉེས-སྤྱོད	unwholesome forms of behavior
ཉེས-པ-ལས-ལྡོག-པའི-སྟོབས	power of turning away from faults
ཉི-ལྡོག	solstice
ཉི-ཚེ-བ	temporary; limited (in extent)
ཉི-མའི-དཀྱིལ-འཁོར	sphere/ orb of the sun
ཉི-མའི-སྙིང-པོ	sphere/ orb of the sun; isc. sun as source
ཉིད	-ness; (the thing) itself/ selfsame; . . . in and of itself; in fact; as such
ཉིད-འཁྲུལ	compounded/ self-reinforcing confusion; layer upon layer of confusion
ཉིད-དུ	. . . nyid du . . . - . . . is a case of . . . [cf. Chos dbyings mdzod fol. 70a/ b]
ཉིན-སྣང	apparent phenomena of waking state/ experience
ཉིན-མཚན-མཉམ-པ	equinox
ཉིང-འཁྲུལ	compound(ed)/ secondary/ further confusion
ཉོན-མོངས	afflictive emotion; emotionally tainted
ཉོན-ཡིད	{ཉོན་མོངས་པ་ཅན་གྱི་ཡིད} (emotionally) affected/ biased/ tainted consciousness; isc. I-consciousness/ sense of self
ཉོན-རེ-མོངས	how emotionally afflicted!
ཉོན-མོངས-པ	afflictive emotion; emotionally tainted
ཉོན-མོངས-པའི-བདུད	mara of the afflictive emotions
ཉོན-མོངས-པའི-ཡིད	(emotionally) affected/ biased/ tainted consciousness; isc. I-consciousness/ sense of self
ཉོན-མོངས-པའི-ཡིད-ཀྱི-རྣམ-པར-ཤེས-པ	(emotionally) affected/ biased/ tainted consciousness based on conceptual mind
