ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
འཕྲིག	Present: {འཕྲིག} CD, DK, TC. {འཕྲིགས} DS. \nPast: {ཕྲིགས} DK. {འཕྲིགས} [DS], TC.\nFuture: {ཕྲིག} DK. {འཕྲིག} [DS], TC.\nImperative: {འཕྲིགས} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nCharacteristic Example:\nMeaning:To doubt, be undecided about CD. To test, examine, to understand, to ascertain, to throb DK. 1. To know, to understand. 2. To doubt, be suspicious DS. 1. To examine with scrutiny. 2. To rise, move back and forth TC.
འཕྲུ	Present: {འཕྲུ} DK. \nPast: {ཕྲུས} DK.\nFuture: {ཕྲུ} DK.\nImperative: {འཕྲུས} DK.\nMeaning:To plough a fresh piece of land, to dig land for cultivation DK.
འཕྲུག	Present: {འཕྲུག} CD, DS, TC. {འཕྲུགས} DK. \nPast: {ཕྲུགས} CD.{ཕྲུག} DK. {འཕྲུགས} DS, TC.\nFuture: {འཕྲུག} DK, DS, TC.\nImperative: {ཕྲུགས} DK, TC. {འཕྲུགས} DS.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nMeaning:To scratch one's body CD. To itch DK. To rub, scratch the an itch on the body DS. To scratch TC.
འཕྲུལ	Present: {འཕྲུལ} LZ, CD, DS, TC. \nPast: {འཕྲུལད} LZ. {འཕྲུལ} [DS].\nFuture: {འཕྲུལ} LZ, [DS].\nImperative: {ཕྲུལད} LZ.\nInvoluntary: (Hoshi 2003).\nIntransitive: DS.Transitive: TC.\nResultative of: {སྤྲུལ} CD.\nCharacteristic Example: {ཡ་མ་ཟུང་དུ} LZ.\nMeaning:1. To appear to change, to transform one's self, to cause illusions, to alter an object by magic. 2. To be mistaken, err, to make blunders. 3. To separate, sort, discriminate (the good from the bad, truth from falsehood) (Ja) CD. For a false meaning to arise, manifest to mind or senses DS. To manifest magically, to move TC.
འཕྲེ	Present: {འཕྲེ} CD. \nPast: {འཕྲེས} CD.\nMeaning:To incline, to lean against, to put down, to lay down CD.
འཕྲེང	Present: {འཕྲེང} LZ, CD, ND. {འཕྲེངས} DK. \nPast: {འཕྲེངས} LZ. {འཕྲེང} ND, TC. {ཕྲེང} DK.\nFuture: {འཕྲེང} LZ, DK, TC.\nImperative: {ཕྲེངས} LZ, DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nCharacteristic Example: {སེམེས་ལ་ཀྱེ་མ་སྙམ་དུ} LZ.\nMeaning:1. To fasten, be fastened to, be affixed to, be arranged (especially in a settled and orderly manner) CD. To be anxious, to be attached, enthusiastic DK. To think about a person or thing TC.
འཕྲོ	Present: {འཕྲོ} LZ, CD, DK, DS, TC. {འཕྲོས} DK. \nPast: {འཕྲོས} LZ, CD, DS, TC. {ཕྲོ} DK.\nFuture: {འཕྲོ} LZ, DK, DS, TC.\nImperative: {འཕྲོ} LZ. {འཕྲོས} (LZ). {ཕྲོ} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Abl.] CD. [Abs. Obl.] (Hackett 2003).\nResultative of: {སྤྲོ} CD, (Beyer 1992: 116), (Gyurme 1992: 260).\nCharacteristic Example: {འོད་ཟེར་སོགས} LZ.\nMeaning:To proceed, issue, emanate from, to spread, diffuse CD. To emanate light and mind DK. 1. For light to shine. 2. For the mind or eyes to wander DS. 1. To radiate, shine. 2. To wander TC.
འཕྲོག	Present: {འཕྲོག} KYT, TD, LZ, CD, ND, DK, DS, TC. {དཕྲོག} CD (Rdo 46).\nPast: {ཕྲོགས} KYT, ND, DS, TC. {ཕྲོག} TD, LZ, CD (Rdo 46), DK.\nFuture: {དཕྲོག} KYT, CD. {འཕྲོག} CD (Rdo 46). {དབྲོག} TD, LZ, ND, DK, DS.\nImperative: {ཕྲོག} (Zeisler 2004: 349).{ཕྲོགས} KYT, TD, LZ, CD, ND, DK, DS, TC.\nVoluntary: KYT, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {གཞན་གྱི་ནོར་སོགས} TD. {གཞན་ནོར་སོགས} LZ. {རྒྱུ་ནོར} ND.\nMeaning:To rob, run away with, to deprive of CD. To rub, to snatch, to grab, to attract DK. 1. For someone to take something by force which had not been given. 2. To take by force for oneself. 3. To bring to mind DS. To take, assemble by force TC.
འཕྲོད	Present: {འཕྲོད} LZ, CD, ND, DK, DS, TC. \nPast: {འཕྲོད} LZ, ND, [DS], TC. {ཕྲོད} CD, DK.\nFuture: {འཕྲོད} LZ, DK, [DS], TC.\nImperative: {འཕྲོད} LZ. {ཕྲོད} DK. - TC.\nInvoluntary: TC, (Tournadre & Dorje 2003: 306), (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs.] (Tournadre & Dorje 2003: 306). [Abs. Obl.] (Hackett 2003).\nResultative of: {སྤྲོད} (Beyer 1992: 116).\nCharacteristic Example: {སྨན་སོགས་དང་ཕྱག་ཏུ} LZ. \nMeaning:To be given, bestowed, offered, delivered CD. To receive, to be recognized, to be fit or suitable, to be benefited or helped by being suitable DK. For something give to arrive in hand. 2. To conform, to be appropriate. 3. To be mentally certain DS. 1. To receive something given, to obtain, receive in hand. 2. To be suitable, to be in harmony, to help. 3. (archaic) To gather, assemble TC.
བང	{བང} DS, TC. give as a present to {འབང} 
བད	Present: {བད} DS, TC. \nPast: {བད} [DS], TC.\nFuture: {བད} [DS], TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning:1. To be satisfied by food, sated, full. 2. To become drunk, intoxicated DS. 1. To be satisfied. 2. To become drunk, intoxicated TC.
བམ	Present: {བམ} DK, TC. \nPast: {བམས} DK. {བམ} TC.\nFuture: {བམ} DK, TC.\nImperative: {བམས} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS.\nMeaning:To be mildewed DK. To rot TC.
བུད	 see {འབུད}|Present: {བུད} TC. \nPast: {བུད} TC.\nFuture: {བུད} TC.\nImperative: - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: TC.\nSyntax: [Abs. Obl.] (Hackett 2003)\nResultative of: {འབུད} (Chang 1971: vii.6), (Duff).\nMeaning:To come out, away TC. 
བུར	Present: {བུར} DK. \nPast: {བུརད} DK.\nFuture: {བུར} DK.\nImperative: {བུརད} DK.\nMeaning:To be dislocated, to become crooked DK.
བུལ	Present: {བུལ} DK. \nPast: {བུལད} DK.\nFuture: {བུལ} DK.\nImperative: {བུལད} DK.\nMeaning:To become slow, to be slow DK.
བེམ	Present: {བེམ} DS. \nPast: {བེམ} [DS].\nFuture: {བེམ} [DS].\nIntransitive: DS.\nMeaning:To become numb DS.
བེལ	Note:(Denwood 1991: 136) suggests the following forms {བེལ} , {འབེལ} , {འཕེལ} , {སྤེལ} , {ཕེའུ} , {འཕེའུ} , with the meanings 'declare, make known, publicize, expose, accuse.' 
བོ	 see {འབོ}|{བོ} CD. gives as the present of {འབོ}. 
བོན	Present: {བོན} LZ, CD. {འབོན} DK.\nPast: {བོནད} LZ, DK.\nFuture: {བོན} LZ, DK.\nImperative: {བོན} LZ. {འབོནད} DK.\nCharacteristic Example: {ལྷའི་སྔགས་སོགས} LZ.\nMeaning:(archaic) To express, to mutter CD. 1. To ask (a god, sovereign). 2. To give, offer (to a god, sovereign). 3. (for a god, sovereign) To receive, obtain, take. 4. (probable) to murmur, recite (charms, prayers). 5. (probable) To invoke, summon, call (Uray 1964). To express, recite, mutter DK.\nNote:very likely related to the noun {བོན} , and (Lalou 1953) suggests also a comparison with {བོད} 'tibet'
བོར	 see {འབོར}|Present: {བོར} DS, TC. \nPast: {བོར} [DS], TC.\nFuture: {བོར} [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nResultative of: {འབོར} (Duff).\nMeaning:1. For something to become lost 2. To wane, disappear, throw away. 3. To say, do DS. To lose TC. 
བྱང	Present: {བྱང} DS. \nPast: {བྱང} [DS].\nFuture: {བྱང} [DS].\nIntransitive: DS.\nMeaning:1. For experience to be great. 2. To make something soft, smooth through wiping, touching DS.
བྱབ	Present: {བྱབ} CD, DS, TC. {འབྱབ} DK.\nPast: {བྱབས} CD, DK, DS, TC.\nFuture: {བྱབ} DK, DS,TC.\nImperative: {བྱོབས} DS, TC. {འབྱབས} DK.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nMeaning:1. To cleanse, wash, wipe. 2. To seize, clutch CD. To haul down, to remove filthy matters, to wash, clean DK. To rub, sweep DS. To sweep, clear away, wipe TC.
བྱམས	 see {འབྱམ}|Present: {བྱམས} LZ, DS, TC. \nPast: {བྱམས} LZ, [DS], TC.\nFuture: {བྱམས} LZ, [DS], TC.\nImperative: {བྱམས} LZ. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {བུ་གཅེ་སོགས་ལ} LZ.\nMeaning:The opposite of dislike, to be near at heart DS. 1. To want another to have happiness. 2. For clothes to fit, be comfortable on the body TC. 
བྱི	 see {འབྱི}|{བྱི} TC. gives as the present of {འབྱི}  
བྱིང	 see {འབྱིང}|{བྱིང} ND. gives as the present of {འབྱིང} or {སྤྱིང}  
བྱིབ	Present: {བྱིབ} CD. {འབྱིབ} (CD), DK, (DS). {བྱིབས} DS. \nPast: {བྱིབས} CD, DK, [DS].{འབྱིབ} [(DS)].\nFuture: {བྱིབ} DK.{བྱིབས} [DS].{འབྱིབ} [(DS)].\nImperative: {བྱིབས} DK.\nTransitive: DS.\nMeaning:[To cover] CD. To encase, cover DS. To be covered up, to spread over, to spread, to smudge with ink, to cause to spread over, to wrap in DK.
བྱིལ	 see {འབྱིལ}|Present: {བྱིལ} CD, DS. \nPast: {བྱིལ} [DS].\nFuture: {བྱིལ} [DS].\nTransitive: DS.\nMeaning:To rub, spread (unguent, salve) DS. 
བྱུག	 see {འབྱུག}|{བྱུག} LZ, ND, CD. gives as the present of {འབྱུག}  
བྱུང	 see {འབྱུང}|Auxiliary: {བྱུང} DS. \nFunction:Suffixed to the past tense of a verb meaning 'to make, do' DS.\nNote:from the verb {འབྱུང}. NWH. 
བྱེད	Present: {བྱེད} CD, ND, DK, DS, TC. \nPast: {བྱས} CD, ND, DK, DS, TC.\nFuture: {བྱ} CD, ND, DK, DS, TC.\nImperative: {བྱོ} (Zeisler 2004: 348).{བྱོས} CD, ND, DS, TC. {བྱེད} (CD), DK.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003)\nCharacteristic Example: {ལས} ND.\nMeaning:To do, to make CD. To do, work DK. 1. To do, work. 2. To replace, substitute, take responsibility for DS. To do the work of mind, speech, or body TC.
བྱེར	 see {འབྱེར}|Present: {བྱེར} CD, ND. \nPast: {བྱེརད} ND.\nFuture: {འབྱེར} ND.\nImperative: {བྱེརད} ND.\nCharacteristic Example: {སོ་སོར} ND.\nMeaning:To separate, disintegrate, destroy CD. 
བྱོ	 see {བྱེད} | see {འབྱོ}|Present: {བྱོར} CD.\nMeaning:To hear, listen to CD. 
བྲ	 Auxiliary: {བྲ} DS.\nFunction: To be able, to withstand, endure DS.|Present: {བྲ} CD. \nMeaning: To have great plenty, be in great plenty CD.\nNote: Root given as bra < *mra (Beyer 1992: 86). 
བྲན	Present: {བྲན} LZ, CD, DK, TC. {འབྲན} DS.\nPast: {བྲནད} LZ, DK. {བྲན} DS, TC.\nFuture: {བྲན} LZ, DK, DS, TC.\nImperative: {བྲན} LZ. {བྲནད} DK. {བྲོན} DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: {ཆབ་སོགས} LZ.\nMeaning:To saturate with water, to moisten CD. 1. To pour water. 2. To strew DK. To make wet by pouring water something on it DS. 1. To scatter, disperse. 2. To give, provide TC.
བྲབ	{བྲབ} LZ. gives as the present of {འབྲབ} 
བྲི	 see {འབྲི}| {བྲི} DS. gives as the present of {འབྲི}  |{བྲི} ND. give as the present of {འབྲི}  
བྲིན	Present: {བྲིན} DK, DS, TC. \nPast: {བྲིནད} DK. {བྲིན} [DS], TC.\nFuture: {བྲིན} DK, [DS], TC.\nImperative: {བྲིནད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nDenominative of: {རིན} 'price, value' NWH.\nMeaning:To be sold, to be demanded DK. To take money, for buyers to be plentiful DS. To sell, market TC.
བྲིམ	{བྲིམ} ND. gives as the present of {འབྲིམ}.
བྲུག	Present: {བྲུག} CD, DK, DS, TC. \nPast: {བྲུགས} DK. {བྲུག} [DS], TC.\nFuture: {བྲུག} DK, [DS], TC.\nImperative: {བྲུགས} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning:To flow, to stream out, to gush forth CD. To be increased, to be full, to be filled with DK. For water to suddenly rise DS. For water to naturally increase, fill TC.
བྲུབ	 see {འབྲུབ}| {བྲུབ} DS. gives as the present of {འབྲུབ}  |{བྲུབ} ND. gives as the present of {འབྲུབ}  
བྲུལ	 see {འབྲུལ}|{བྲུལ} DS. gives as the present of {འབྲུལ}  
བྲེ	 see {འབྲེ}|Present: {བྲེ} DS, TC. \nPast: {བྲེས} DS, TC.\nFuture: {བྲེ} DS, TC.\nImperative: {བྲེས} DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003)\nMeaning:To stretch out (a canopy &c.) across the top of something DS. To spread, lay out, cover, adorn, connect together TC. 
བྲེད	 see {འབྲེད}|Present: {བྲེད} CD, TC. \nPast: {བྲེད} TC.\nFuture: {བྲེད} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning:To be alarmed, depressed at heart, to be dejected, to be ashamed CD. To fear, be afraid of TC. 
བྲེལ	Present: {བྲེལ} CD, ND, DK, DS, TC. \nPast: {བྲེལད} ND, DK. {བྲེལ} [DS], TC.\nFuture: {བྲེལ} ND, DK, [DS], TC.\nImperative: - ND, TC. {བྲེལད} NDA, DK.\nInvoluntary: ND, TC. Voluntary: NDA.\nIntransitive: DS, TC.\nCharacteristic Example: {བྱ་བས} ND. {བྱ་ལས} NDA. \nMeaning:To be busy, engaged, to have business CD. To be busy with, to hurry, hasten DK. [To be busy] DS. To be occupied, busy TC.
བྲོ	Present: {བྲོ} CD, DK, DS, TC. \nPast: {བྲོ} DK, [DS], TC.\nFuture: {བྲོ} DK, [DS], TC.\nImperative: {བྲོ} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Obl. Abs.] (Hackett 2003)\nDenominative of: {རོ} 'taste' (Hahn 1973: 440).\nMeaning:1. To swear, take an oath. 2. To taste, to get enjoyment of. 3. (in Center) To desire, to wish CD. To taste, experience in a taste DK. 1. To have direct experience, mentally appear. 2. To experience with the nose or tongue DS. 1. To desire. 2. To arise, experience TC.\nNote:(Hahn 1973: 440) suggests that the ro 'taste' < *bro, i.e. the b- is indeed part of the root.
བྲོད	 see {འདྲད}|Present: {བྲོད} DS. \nPast: {བྲོད} [DS].\nFuture: {བྲོད} [DS].\nIntransitive: DS.\nMeaning:To be joyful, to enjoy DS. 
བླག	Present: {བླག} LZ, CD, DK, TC. {བློག} DS.\nPast: {བླགས} LZ, CD, DK, DS, TC.\nFuture: {བླག} LZ, DK, DS, TC.\nImperative: {བླགས} LZ, DK. {བློགས} DS, TC.\nVoluntary: DS, TC.\nTransitive: DS, TC.\nCharacteristic Example: {རྣ་བ་སོགས} LZ.\nMeaning:1. To attend to, to hearken to, to lean toward, to permit. 2. To shed tears (Ja) CD. (only used with {རྣ} or {རྣ་བ} ) To incline one's ear to, to listen to (de Jong 1973). To give, lend one's ear; to listen to DK. 1. To hear by mentally concentrating, lending one's ear. 2. To cry DS. 1. To lend one's ear to a saying, listen. 2. To give off, shed TC.
བླད	Present: {བླད} CD, DK, DS, TC. \nPast: {བླད} DK, TC.\nFuture: {བླད} DK, TC.\nImperative: {བླད} DK. {བློད} TC.\nVoluntary: TC.\nTransitive: DS, TC.\nMeaning:To chew CD. To chew cud, to chew DK. (archaic) To chew DS. To chew, grind, suck on TC.\nNote: Compare {ལྡད}.
བླས	Present: {བླས} DS. \nPast: {བླས} [DS].\nFuture: {བླས} [DS].\nTransitive: DS.\nMeaning:(for a soft, thin thing) To connect by plaiting together many strands DS.\nNote: Compare {སླ}.
བླུ	Present: {བླུ} LZ, CD, DK, DS, TC. \nPast: {བླུས} LZ, CD, DK, DS, TC.\nFuture: {བླུ} LZ, DK, DS, TC.\nImperative: {བླུས} LZ, DK, DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {སྲོག་སོགས} LZ.\nMeaning:To ransom, redeem (a pawn, pledge, or security) CD. To buy back, redeem; to redeem [the] life of a man, animal by paying some money; to ransom DK. (honorific) To buy DS. To buy something previously relied upon, (particularly) to buy for a religious purpose TC.\nNote: Compare the noun {གླུད} 'ransom'. 
བླུག	{བླུག} CD, DK, TC. give as the present of {ལྡུག}.
བླུད	{བླུད} LZ, CD, DK, TC. give as the present of {ལྡུད} 
བློང	Present: {བློང} DK. \nPast: {བློངས} DK.\nFuture: {བློང} DK.\nImperative: {བློངས} DK.\nMeaning:1. To become nervous, to be mentally unsettled, to be uneasy. 2. To get bored, become dull DK.
བློད	Present{༼?༽༔་བློད} (Denwood 1991: 136). \nMeaning:To counsel, discuss, place (Denwood 1991: 136).
བློན	Present: {བློན} LZ, DS. {བླན} TC.\nPast: {བླནད} LZ.\nFuture: {བླན} LZ.\nImperative: {བློནད} LZ.\nCharacteristic Example: {གཡང་སོགས་ནང་དུ} LZ.\nMeaning:(archaic) To advise DS. 1. To face inward, to send hither, to lead. 2. To support, establish, help TC.\nNote: Compare {གླན} (?) NWH.
དབང	Present: {དབང} LZ, ND, DK, DS, TC. \nPast: {དབང} LZ, ND, DK, [DS], TC. \nFuture: {དབང} LZ, DK, [DS], TC. \nImperative: {དབང} LZ, DK. - TC. \nInvoluntary: TC. Voluntary: (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Erg. Obl.] (Hackett 2003).\nCharacteristic Example: {ཡུལ་འཁོར་སོགས་ལ} LZ.\nMeaning:To own, to belong, to have a right DK. To lay out, arrange, place, assemble, to use, to be available for use DS. To own, to have, to be able TC.
དབུར	 see {འཕུར}|Present: {དབུར} LZ, CD, DS, TC. \nPast: {དབུརད} LZ. {དབུར} TC.\nFuture: {དབུར} LZ, TC.\nImperative: {དབུར} LZ, TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {དབྱིག་སོགས་ཀྱིས} LZ.\nMeaning:(also {འུར} and {ཡུར} ) To smooth (Ja) CD. To rub, scrape DS. 1. To crush finely. 2. To smooth, level TC. 
དབུལ	 see {འབུལ}|Present: {དབུལ} LZ, DS, TC. \nPast: {དབུལད} LZ. {དབུལ} [DS], TC. \nFuture: {དབུལ} LZ, [DS], TC. \nImperative: {དབུལད} LZ.- TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Abs. Instr.] (Hackett 2003).\nCharacteristic Example: {འབྱོརད་པ་སོགས་ཀྱིས} LZ.\nMeaning:1. To be bereft of wealth. 2. To have few or no good qualities &c. DS. To be destitute, bereft of wealth TC. 
