འབའ-འཛར	(PH) vajra [arch. spelling]
རྫས-འཛིན-རྟོག-པ-དགུ	(PH) conception of the true existence of subjects (i.e.; persons) as being substantially existent
རྫས-གཅིག-པ	(PH) one substantial entity
རྫས-གཞན	(PH) different substantial entities
རྫས-ལྡོག	(PH) substantial and isolate [phenomena]
རྫས-རེ-རེ	(PH) single substantial entity
རྫས-རྒྱུན-ཕྱི-མ	(PH) subsequent continuation of a substantial entity
རྫི	 (PH) herder; supervisor; one who cares for; one who guides|(PH) breeze; wind 
རྫོགས-བྱང	(PH) complete enlightenment
རྫོགས-ལྡན	(PH) age of perfection [first of the four ages of the aeon]
རྫུ-འཕྲུལ-ཅན	(PH) possessing magical powers
རྫུན-དང-གཡོ-སྒྱུ	(PH) lies and deceit and guile
རྫུན-མཁན	(PH) liar
རེ	(PH) some; respectively
རེ-རེ	(PH) each
རེ-ཞིག	(PH) temporarily; for some time; initially
རྒ-བ	(PH) old age
རྒན	(PH) palate
རྒོད	(PH) excitement
རྒོད-པ-དང-འགྱོད-པ	(PH) excitement and contrition
རྒོལ-འཛིང	(PH) fighting
རྒོལ-བ-ངན-པ	(PH) evil opposition
རྒུད	(PH) trouble; misfortune
རྒུད-ཉམས	(PH) ruin; decline; deterioration
རྒུད-པ	(PH) trouble; misfortune
རྒྱ	(PH) Chinese; Indian; seal
རྒྱ-བྲིས-ཐང-ཀ	(PH) Chinese-style thangka
རྒྱ-ཆེ-གཏིང-ཟབ	(PH) vast and profound
རྒྱ-ཆེན	(PH) extensive; broad; great
རྒྱ-དམག	(PH) Chinese army
རྒྱ-ཁྱོན	(PH) area; extent
རྒྱ-ཁྱོན-ཆེ-བ	(PH) large extent
རྒྱ-མདུད	(PH) knotted seal
རྒྱ-ནད	(PH) syphilis
རྒྱ-སེར	(PH) Russia
རྒྱ-སྤོས-མེ-ཏོག	(PH) Chinese incense flower
རྒྱབ	(PH) bottom
རྒྱབ-འབོལ	(PH) back cushion
རྒྱབ-ལོག	(PH) behind
རྒྱབ-ན	(PH) behind
རྒྱབ-རྫི	(PH) supervisor
རྒྱབ-སྙེ	(PH) inner backrest
རྒྱགས	(PH) haughtiness
རྒྱལ	(PH) [the Indian month of] Puṣya
རྒྱལ-བའི-རྒྱལ-ཚབ	(PH) the regent of the Conqueror
རྒྱལ-བློན	(PH) king and his ministers
རྒྱལ-བུ-རྒྱལ-བྱེད	(PH) Jetavana
རྒྱལ-ཆེན-རྣམ-ཐོས-ཀྱི-བུ	(PH) the great king Vaiśravana
རྒྱལ-དབང	(PH) Lord of Conquerors
རྒྱལ-དཔོག-པ	(PH) Jaimini
རྒྱལ-ཀུན-ཡབ-གཅིག	(PH) the only father of all the Buddhas
རྒྱལ-པོ-བརྩེ-བ-མེད-པ-དྲག-པོས-བྱིན	(PH) the merciless king Ugradatta
རྒྱལ-པོ-དམག-བརྒྱ-བ	(PH) King Śatānīka [a Licchavi]
རྒྱལ-པོ-དམག-བརྒྱ-པ	(PH) King Śatānīka [a Licchavi]
རྒྱལ-པོ-དྲག-པོས-བྱིན	(PH) King Ugradatta
རྒྱལ-པོ-གཟུགས-ཅན-སྙིང-པོ	(PH) King Bimbisāra
རྒྱལ-པོའི-ཁབ	(PH) Rājagṛha
རྒྱལ-རྒྱུད	(PH) royal lineage
རྒྱལ-ས	(PH) kingdom; capital city
རྒྱལ-སྲས-རྟག-ཏུ-ངུ	(PH) [Bodhisattva] Sadaprarudita
རྒྱལ-ཚབ	(PH) Maitreya [epithet of]; status as crown prince; royal inheritance; Gyel-tsap Dar-ma-rin-chen (rgyal tshab dar ma rin chen, 1364-1432)
རྒྱལ-ཚབ-དམ-པ	(PH) sublime regent
རྒྱལ-ཟླ	(PH) the twelfth month
རྒྱང	(PH) far away
རྒྱང-མ	(PH) distance; far away
རྒྱས-ལྡན	(PH) Puṣkaravatī (ancient capital of Gandhāra)
རྒྱུ	(PH) cause
རྒྱུ-པ-མེད-པའི-ཚིག	(PH) conventional expression
རྒྱུ-རྡོ-རྗེ-འཛིན-པ	(PH) causal vajra-holder
རྒྱུད	(PH) lineage; tantra
རྒྱུན	(PH) continuum; continuation; stream; current; line
རྒྱུན-གྱི-ཡི-དམ	(PH) personal tutelary deity
རྒྱུན-མཐའི-བར-ཆད-མེད-ལམ	(PH) the uninterrupted path of the end of the continuum
རྒྱུན-ཕྱི-མ	(PH) subsequent continuation
རྒྱུན-རིང	(PH) long time; long duration
རྒྱུན-རིང-པོ	(PH) (for) a long time
རྒྱུས	(PH) familiar
རི	(PH) mountain
རི-བོ-འབིགས-བྱེད	(PH) Vindhya Mountain range
རི-བོ-རྩེ-ལྔ	(PH) the Five-Peaked Mountain (Wu-t'ai-shan)
རི-བྲགས-པ	(PH) bandits
རི-དེའུ	(PH) small hill
རི-དྭགས-ཀྱི-གནས	(PH) Deer Park
རི-དྭགས-རྒྱུ-བའི-གནས	(PH) Deer Park
རི-དྭགས-སྤགས-པ	(PH) antelope skin
རི-ཁ-བ-ཅན	(PH) Mountainous Land of Snows (Tibet)
རི-ལྡིང	(PH) mountain slope
རི-མོ-མཁན	(PH) artist
རི-མོའི-དཁྱིལ-འཁོར	(PH) painted maṇḍala
རི-ཕུག	(PH) mountain cave
རི-རྒྱུད	(PH) mountain range
རི-སུལ-གྱི-ཕུག	(PH) mountan cave
རིའི-ཕུག	(PH) mountain cave
རིག	(PH) knower; knowledge; awareness; thoughts
རིག-པ	(PH) knower; knowledge; awareness; thoughts
རིག-པའི-བརྟུལ-ཞུགས	(PH) proper religious observances
རིག-པའི-ཆོས-གྲྭ-ཆེན-པོ	(PH) the great Vidyadharma college [at Nalendra]
རིགས	 (PH) type; kind; class; lineage; legacy; clan; family|(PH) type; kind; class; lineage; legacy; clan; family 
རིགས-མཐའ-དག	(PH) all types
རིགས-ངན-སྨྱིག-མ-མཁན	(PH) founder of a lineage of the lowest of outcastes
རིགས-ངེས-བྱང-སེམས	(PH) bodhisattva firm in their lineage
རིགས-པ-མདོར-བསྡུས	(PH) brief reasonings
རིགས-ཐིགས	(PH) [Dharmakīrti's] ″Drop of Reasonings″
རིགས-ཡོད-པ-ཅན	(PH) [that] which has a type
རིམ-བཞིན	(PH) in stages; in sequence
རིམ-པར-ཕྱེ-བ	(PH) section
རིམས	(PH) disease
རིན-ཆེན	(PH) precious; jewel; monetary offering
རིན-ཆེན-སྣ-ལྔ	(PH) five various precious things
རིན-ཆེན-ཏོག	(PH) Ratnaketu
རིན-ཆེན-ཏོག་	(PH) Ratnaketu
རིན-པོ-ཆེ-སྣ-ལྔ	(PH) various five precious substances
རིང-བའི-རྒྱུ	(PH) distant cause
རིང-བསྲེལ-མང	(PH) many relics
རིང-ཆ	(PH) long part; long vowel
རིང-ཞིག	(PH) slowly; a while; a short time
རིང-ཞིག-ཏུ	(PH) for a long time
རིས-གཡས-སུ-འཁྱིལ-བའི-དུང	(PH) clockwise spiraling conch shell
རིས-ཡིན	(PH) section
རྗེ-བཙུན	(PH) venerable
རྗེ-བཙུན-བླ-མ	(PH) venerable teacher
རྗེ-སུ-དྲན-པ-དྲུག	(PH) six recollections
རྗེ-ཐམས-ཅད-མཁྱེན-པ	(PH) Omniscient Lord
རྗེ-ཡབ-སྲས-བཞི	(PH) Tsong-kha-pa and his three disciples; Rgyal-tshab; Mkhas-grub; and 'Dul-'dzin Grags-pa-rgyal-mtshan
རྗེ-ཡབ-སྲས-གསུམ	(PH) Tsong-kha-pa and his two disciples; Rgyal-tshab and Mkhas-grub
རྗེའུའི-རིགས	(PH) merchant/ bourgeois class
རྗེན-ཆར	(PH) nakedly
རྗེས-འཇུག	(PH) follower; followers
རྗེས-བཞིན-དུ	(PH) accordingly; after a while
རྗེས-བཟོད-བཞི	(PH) four subsequent forbearance
རྗེས-དཔག-ཚད-མ	(PH) inferential valid cognition
རྗེས-མི-ལ	(PH) Lord Milarepa
རྗེས-སུ-འབྲེལ-པ	(PH) indicatory phonemes [in Paninian grammar]
རྗེས-སུ-དྲན-པ-བཅུ	(PH) ten mindfulnesses
རྗེས-སུ-ཐུགས-བརྩེ-བ	(PH) mind of exceptional loving compassion
རྗེས-ཐོབ-རྒྱ-ཡན-པ	(PH) dispersed state subsequent [to meditative equipoise]
རྗེས-ཐོབ-ཏུ-ངེས-ཤེས-འདྲེན-གྱི-ཁྱད-པར	(PH) the feature of the mode of inducing an ascertaining consciousness in states subsequent to meditative equipoise
རྐན	 (PH) palate | (PH) tongue (jihva)|(PH) hump of the shoulders (kākuda) 
རྐང-རྟེན	(PH) portable stool [used to aid in dismounting from a horse or vehicle]
རྐྱང-པ	(PH) whole; complete; totality
རྐྱེན-འདི-པ-ཙམ-ཉིད	(PH) having just these conditions
རྐྱེན-བུ	(PH) reason
རྐྱེན-ཉིད-འདི-པ-ཙམ	(PH) mere state of conditionality
རླབས-ཕྲེང	(PH) successive waves
རླངས-པ	(PH) Vaśpa (p.n. monk & disciple of the Buddha)
རློན	(PH) moist; fresh
རླུབས	(PH) pit; abyss; ditch
རླུང	(PH) wind; wind
རླུང-འཚུབ	(PH) whirlwind; violent storm
རླུང-ལུས	(PH) wind-body
རླུང-རྒྱུ-བ	(PH) moving wind
རྨ-བྱ-ཆེན-མོ	(PH) Mahāmāyūrī
རྨ-བྱའི-ཚོགས-ཅན	(PH) ″Group of Peacocks″ (n. of a forest in S. Tibet)
རྨད	(PH) marvelous; marvelous [thing]
རྨད-བྱུང	(PH) marvelous
རྨངས-མོ	(PH) scum
རྨི-ལམ-གྱི-རྟགས	(PH) dream signs
རྨི-ལམ-གྱི-ཤེས-པ	(PH) a dream consciousness
རྨི-ལམ-ལུས	(PH) dream-body
རྨི-ལྟས	(PH) dream signs
རྨོངས-བྱེད-མ	(PH) Mohani
རྨོངས-ཆེན	(PH) great fool
རྨོངས-མེད	(PH) non-delusion
རྨུགས	(PH) lethargy
རྣ-བ-མ-ཕུག-པ	(PH) Aviddhakarṇa (p.n.; Nyāya/Carvāka author)
རྣ-ནག-མ	(PH) goddess of misfortune
རྣལ-འབྱོར-མངོན-སུམ-ཚད-མ	(PH) valid yogic perception
རྣལ-འབྱོར-པའི-བློ-ངོར	(PH) from the perspective of a yogi
རྣལ-འབྱོར-སྤྱོད-པ	(PH) Yogācāra; Yogic-Practice [School]
རྣལ-འབྱོར-སྤྱོད-པ-བ-རྣམ-རྫུན-པ	(PH) Yogācāra False Aspectarian [School]
རྣལ-འབྱོར-སྤྱོད-པ-དབུ-མ	(PH) Yogācāra-Svātantrika-Mādhyamika; Yogic Practice Middle Way Autonomy [School]
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ	(PH) Yogācāra-Svātantrika-Madhyamaka; Yogic Practice Middle Way Autonomy School
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ-པ	(PH) Yogācāra-Madhyamaka; Yogic Practice Middle Way [School]
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ-རང-རྒྱུད-པ	(PH) Yogācāra-Svātantrika-Mādhyamika; Yogic Practice Middle Way Autonomy [School]
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ-རང-རྒྱུད-པའི-ལུགས	(PH) Yogācāra-Svātantrika-Mādhyamika School; Yogic Practice Middle Way Autonomy School
རྣལ-འབྱོར-སྤྱོད-པའི-དབུ-མ-རྒྱུད-པ	(PH) Yogācāra-Madhyamaka lineage; Yogic Practice Middle Way lineage
རྣལ-བཞིན	(PH) restfully; soundly
རྣལ-ལམ	(PH) yogic dream
རྣམ	(PH) kind; type; aspect; form
རྣམ-འདྲེན-བཞི-པ	(PH) fourth guide [Śākyamuni]
རྣམ-འདྲེན-ལྔ-པ	(PH) fifth Guide [Maitreya]
རྣམ-འདྲེན-སྟོང-རྩ	(PH) one thousand guides [buddhas]
རྣམ-འགྲེལ	(PH) commentary
རྣམ-བཅས	(PH) aspectually mediated
རྣམ-བརྫུན-དྲི-བཅས-པ	(PH) Tainted False Aspectarian
རྣམ-བརྫུན-དྲི-མེད	(PH) Non-Tainted False Aspectarian
རྣམ-བརྫུན-དྲི-མེད-པ	(PH) Non-Tainted False Aspectarian
རྣམ-བརྫུན-པ	(PH) False Aspectarian
རྣམ-བཞག-རིམ-པ	(PH) [Nāgabodhi's] Ordered Stages [of the Guhyasamāja Sādhana]
རྣམ-དག-ཞིང	(PH) Pure Land
རྣམ-དཀར	(PH) wholesome; wholesome [things]
རྣམ-གནོན-ངང-ཚུལ	(PH) Vikramaśīla
རྣམ-གནོན-ཉི-མ	(PH) [King] Vikramāditya
རྣམ-གནོན-ཚུལ	(PH) Vikramaśīla
རྣམ-གྲོལ-ལམ-སྐོར-དགུ	(PH) nine cycles of paths of release
རྣམ-གཟིགས	(PH) the Bodhisattva Vipaśyin (who became the Buddha Śākyamuni)
རྣམ-མང	(PH) manifold; many aspects
རྣམ-མཁྱེན-སྐད-ཅིག-དང-པོ	(PH) first moment of an exalted knower of all aspects
རྣམ-པ-མང-པོ	(PH) many aspects
རྣམ-པ-ངུར-སྨྲིག	(PH) saffron aspect [i.e.; Buddhist monk]
རྣམ-པར-འགྱུར-བ-ཅན	(PH) activity
རྣམ-པར-འགྱུར-བ-ཅན-གྱི-ང-རྒྱལ	(PH) activity-dominated I-principal
རྣམ-པར-འཇུག-པ	(PH) Rakṣāsas
རྣམ-པར-དག-པ-གཞན-གྱི-དབང-ཉིད	(PH) other-powered purity
རྣམ-པར-དཀར-བ	(PH) wholesome [things]
རྣམ-པར-དཔྱད-པ-པོ	(PH) one who analyzes
རྣམ-པར-རིག-པ-དང-ཐ-སྙད	(PH) what is conventionally known
རྣམ-པར-སྦྱང-བར-བྱ-བ	(PH) object purified
རྣམ-པར-ཐར-པ-གསུམ	(PH) the three types of complete liberation [signlessness; wishlessness; 
རྣམ-པར-ཐར-པ-ཞལ-གསུངས-མ	(PH) autobiography
རྣམ-རྫུན-པ	(PH) False Aspectarian
རྣམ-རིག-པ	(PH) Proponent of the Ideation-Only (vijñapti-matra) School
རྣམ-རིག-པའི-ལུགས	(PH) Ideation-Only (vijñapti-matra) School
རྣམ-སྦྱར	(PH) robe
རྣམ-སྨིན-གྱི-སྐྱེ-བ-ལེན-ཚུལ-གྱི-ཁྱད-པར	(PH) the feature of the mode of taking fruitional rebirth
རྣམ-སྣང-གི-སྒོ	(PH) door of Vairocana
རྔམས-བརྗིད-དུར-ཁྲོད-རོལ-པའི-ཆས	(PH) frightful attire of a charnel ground dweller
རྔོག-ལོ-ཙཱ-བ-བློ-ལྡན-ཤེས-རབ	(PH) the translater; Ngok Lo-den-shay-rap (1059-1109)
རྔུལ	(PH) sweat
རྙེད-བཀུར	(PH) wealth and respect
རྙེད-པ-དང-བཀུར-སྟི	(PH) wealth and respect
རྙེད-པ-དང-བཀུར-སྟིས	(PH) wealth and respect
རྙིང-བ	(PH) old
རྙིང-ཤོས	(PH) most ancient
རོ	(PH) quality; corpse; residue; [terminating particle]
རོ-ཙ-བར-བྱ-བ	(PH) restoring virility
རོགས	(PH) assistance
རོལ-མོ	 (PH) Gandharva | (PH) musical instrument|(PH) actor; dancer 
རྟ-རྫི	(PH) horse-minder; one who tends horses
རྟག	(PH) eternal; perpetual
རྟག-བརྟན-གྱི-སྙིང-པོ	(PH) permanent, stable essence
རྟག-དངོས-ཐམས-ཅད	(PH) all permanent phenomena and functioning things
རྟག-པ-མ-ཡིན-པ	(PH) non-permanent phenomenon
རྟག-ཏུ-ངུ	(PH) [Bodhisattva] Sadaprarudita
རྟག-ཏུ-སྡོམ	(PH) maintained vow
རྟགས	(PH) reason; sign
རྟགས-ཀྱི-ཚུལ-གསུམ	(PH) three-fold proof
རྟགས-ཕྱི-མ	(PH) latter reason
རྟགས-སྔ-ཕྱི	(PH) former and latter reasons
རྟགས-ཙམ	(PH) mere sign; slightest sign
རྟགས-ཙམ-འཛིན-པའི-དུས	(PH) the [degenerate] time of merely holding onto the sign [of wearing robes as being Buddhist]
རྟེན	(PH) foundation; stable basis; sanctuaries
རྟེན-དང-བརྟེན-པ	(PH) support and supported; residence and resident
རྟེན-གཞི	(PH) basis; foundation
རྟེན-པ	(PH) foundation; support; stable basis; base
རྟེན-རྟགས-ཡང-དག	(PH) correct sign which is its basis
རྟིང	(PH) bottom; end; after; later
རྟིང-པ	(PH) later; subsequent; next; heel
རྟོག	(PH) investigation
རྟོག-འགྱུ	(PH) fleeting thoughts
རྟོག-མེད	 (PH) non-conceptual|(PH) non-conceptual 
རྟོག-མེད-དུ-གྱུར-པའི-མངོན-སུམ-ཚད-མ	(PH) non-conceptual valid perception
རྟོག-མངོན-འགྱུར	(PH) manifest conception
རྟོག-པ-དང-རྟོག-མེད-གཉིས	(PH) both conceptual and nonconceptual
རྟོག-པ-དང-རྟོག-མེད-གཉིས-ཀ	(PH) both conceptual and nonconceptual
རྟོག-པ-ཁོ-ན	(PH) only a conceptual consciousness
རྟོག-པར-གྱུར-པའི-མངོན-སུམ-ཚད-མ	(PH) conceptual valid perception
རྩ	(PH) channel
རྩ-འདབ-བཞི	(PH) four channel-petals
རྩ-ལྟུང-བཞི	(PH) four root infractions [of monks' vows]
རྩ-རྟགས	(PH) main reason
རྩབ-མོ	(PH) acidulated rice-water
རྩེ	(PH) top floor; top storey; peak
རྩེ-གཅིག-མཉམ-པ	(PH) single-pointed meditative equanimity
རྩེ-ཕྱག	(PH) [Potala] Treasurer
རྩེ-ཤོད	(PH) court; royal court
རྩེད-འཇོ	(PH) public amusement; public display
རྩི	(PH) elixir; remedy
རྩི-ཤིང	(PH) a board or slate for counting and writing figures upon
རྩིབ-ལོགས-སྐྱེས	(PH) 'born fron the side of the torso'
རྩིབས-སྟོང	(PH) thousand spokes
རྩིག	(PH) wall
རྩིག-པ-སྣ-ལྔ	(PH) variegated five-fold wall
རྩིག-པའི-འགྲམ	(PH) foot of the wall
རྩོག-རྩོག-པ	(PH) sprawled out; spread out; scattered
