སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
མངོན-པར-རྫོགས-པར-སངས-རྒྱས	A person who has manifested the complete enlightenment of a buddha of the greater vehicle.
རྣམ-པར-བྱང-བ	 The purification of affliction.|The opposite of ‘totally afflicted.’ 
མ-རིག-པ	 First of the twelve links of dependent origination; first of the four torrents; third of the fetters associated with the higher realms.|First of the twelve links of dependent origination; first of the four torrents; third of the fetters associated with the higher realms. 
ཕས-ཕམ-པ	 The four downfalls for monastics resulting in the forfeit of the monastic vows: sexual intercourse, theft, murder, and claiming greater realization than one has.|The four downfalls for monastics resulting in the forfeit of the monastic vows: sexual intercourse, theft, murder, and claiming greater realization than one has. 
འགོས-ལྷས-བཙས	11th century translator and teacher of Guhya­samāja­tantra.
སང-སང-པོའི-དབྱངས	 A bodhisattva in a distant realm.|A bodhisattva in a distant realm. 
ནམ-མཁའ-མཛོད	 In the Kāraṇḍavyūha it is the name of both a bodhisattva and a samādhi. In this sūtra the bodhisattva is a pupil of Buddha Viśvabhū, but he is also portrayed in other sūtras receiving teaching from Śākyamuni, and is one of the sixteen bodhisattvas in the Vairocana maṇḍala.|In the Kāraṇḍavyūha it is the name of both a bodhisattva and a samādhi. In this sūtra the bodhisattva is a pupil of Buddha Viśvabhū, but he is also portrayed in other sūtras receiving teaching from Śākyamuni, and is one of the sixteen bodhisattvas in the Vairocana maṇḍala. 
སེང-གེའི-སྟབས-སུ-གཤེགས-པ	Forty-second of the eighty minor marks.
གླང-པོ-ཆེའི-དབང-པོའི-སྟབས-སུ-གཤེགས-པ	Forty-third of the eighty minor marks.
ངང-པའི-སྟབས-སུ-གཤེགས-པ	Forty-fourth of the eighty minor marks.
གླང-ཆེན-པི-པི-ལིང	 Scindapsis officinalis.|Scindapsis officinalis. 
ས-སྐྱུར-མོ	The solidified resin of Garcinia morella.
སྒམ-པོ-པ	Gampopa Sonam Rinchen ({sgam po pa bsod nams rin chen}, 1079–1153). A disciple of Milarepa, and the founder of the monastic Kagyu tradition; also known as Dakpopa ({dwags po pa}) or Dakpo Lharjé ({dwags po lha rje}).
ཚོགས-ཀྱི-འཁོར-ལོ	A ritual feast for different classes of nonhuman beings.
ཚོགས-བདག	 One of the Hindu gods, often identified with Gaṇeśa.|One of the Hindu gods, often identified with Gaṇeśa. 
སྤོས-ཀྱི-གླང-པོ-ཆེ	 A principal bodhisattva in the Mahāyāna sūtras. He is described in this sūtra as coming from Akṣobhya’s realm.|A principal bodhisattva in the Mahāyāna sūtras. He is described in this sūtra as coming from Akṣobhya’s realm. 
སྤོས-ཀྱི-གླང-པོ	 Name of a bodhisattva.|Name of a bodhisattva. 
སྤོས-ཀྱི-ངད-ལྡན	 A mountain known for its incense trees.|A mountain known for its incense trees. 
སྤོས-ངད-ཅན	 A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet.|A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet. 
སྤོས-ངད-ལྡང	 A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet.|A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet. 
སྤོས-ནད-ལྡན	 A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet.|A legendary mountain north of the Himalayas, with Lake Anavatapta, the source of the worlds great rivers, at its base. It is said to be south of Mount Kailash, though both have been identified with Mount Tise in west Tibet. 
སྤོས-འོད	 Name of a tathāgata.|Name of a tathāgata. 
དྲི-ཟ	 A class of semidivine beings sometimes referred to as heavenly musicians. | A class of sentient being who lives on scents; literally “smell eater.” Also a type of celestial musician living on the rim of Mt. Sumeru. | A class of spirit who lives on scents. Also, a type of celestial musician living on the rim of Mt Sumeru. | A race of deities who are particularly known to be musicians. | A semi-divine being “feeding on smell” and musically skilled. | Class of ethereal beings, living on scents.\nscent-eater | Gandharvas (literally “odor eaters”) are generally regarded as a class of menacing divine offspring, but in Abhidharma the term is often used differently—as a synonym for the mental body assumed by any sentient being of the world system of desire (kāma­dhātu) during the intermediate state between death and rebirth. | Gandharvas, lit. “smell-eaters.” A class of deities known for being skilled musicians. Also the name of spirits in the bardo state. | Gandharvas, literally “smell-eaters,” are a class of spirits, sometimes described as celestial musicians. In other contexts the term can also refer to beings in the bardo-state. | Lit. “scent-eater.” A heavenly musician. | Lit. “smell eater.” Gandharvas are a class of spirits and minor gods (deva) in both Hindu and Buddhist cosmologies. They are supposedly messengers, singers and skilled musicians and dancers. Often closely associated with various nature-spirits (yakṣa), they are on occasion depicted as disturbing to monks practicing meditation. | Lower class of divine being, under the control of the Guardian King of the East. Capable of flight, they are often described as “celestial musicians.” | The name of a kind of preta (ghost). These spirits are said to live on odours, hence their name “smell-eater.” Known for their music. | Usually, a particular category of semi-divine celestial being, one of the four kinds on the four sides of Mount Meru; but in the context of the process of rebirth (e.g. in 1.86 in this sūtra), gandharva refers to the consciousness of the being between death and the next rebirth.| Usually, a particular category of semi-divine celestial being, one of the four kinds on the four sides of Mount Meru; but in the context of the process of rebirth (e.g. in 1.86 in this sūtra), gandharva refers to the consciousness of the being between death and the next rebirth. |Gandharvas, lit. “smell-eaters.” A class of deities known for being skilled musicians. Also the name of spirits in the bardo state. 
དྲི-ཟ-མོ	 Female gandharva.|Female gandharva. 
སྤོས-བཀོད-པའི-ཟས	 Deities who attend on the Buddha Sugandhakūta in the universe Sarva­gandha­sugandhā.|Deities who attend on the Buddha Sugandhakūta in the universe Sarva­gandha­sugandhā. 
སྤོས-མཆོག	 Name of a tathāgata.|Name of a tathāgata. 
སྤོས-མཆོག-བརྩེགས-པ	 Buddha of the universe Sarva­gandha­sugandhā, from whom Vimalakīrti’s emanation-bodhisattva obtains the vessel of ambrosial food that magically feeds the entire assembly without diminishing in the slightest.|Buddha of the universe Sarva­gandha­sugandhā, from whom Vimalakīrti’s emanation-bodhisattva obtains the vessel of ambrosial food that magically feeds the entire assembly without diminishing in the slightest. 
ཚོགས-ཀྱི-དབང-ཕྱུག	 A name that appears twice in the list of buddhas from whom Śākyamuni in previous lifetimes received the Samādhirāja, and who is described in particular in chapter 38.|A name that appears twice in the list of buddhas from whom Śākyamuni in previous lifetimes received the Samādhirāja, and who is described in particular in chapter 38. 
གང-ག	 The sacred river of North India.| The sacred river of North India. |The sacred river of North India. 
གང-གཱའི-ཀླུང	 The sacred river of North India.|The sacred river of North India. 
གཡུང-པོའི-ཁྱིམ	 Also translated here as “garbage collector.”| Also translated here as “garbage collector.” |Also translated here as “refuse scavenger.” 
བོང-བུ	 A powerful yakṣa of the Himalayas.|A powerful yakṣa of the Himalayas. 
གར-གཱ	 A famous Puranic rishi of India, who features particularly in the Vaishnavite literature.|A famous Puranic rishi of India, who features particularly in the Vaishnavite literature. 
