འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
མིག-གི-རྣམ-ཤེས	Check divisions (T)
མིག-གི-རྣམ-པར-ཤེས-པ	see: mig shes\nNot sure what divisions mean?? (T)
མིག-ཤེས-ཀྱི-བཟུང-བྱ	definition of form-source (gzugs kyi skye mched, rUpAyatana)
མིང-བརྡའ	Comment: Jam-y#ang-shay-b#a holds that "name" (ming) in this the Mind-Only context means a term expressing that object (rang zhes rjod pa'i sgra), and although "terminology" (brda') usually has the same meaning as "name," in order to avoid redundancy he takes it to mean a conceptual consciousness apprehending that object (rang 'dzin rtog pa). (This explanation of "terminology" is well-founded in the tradition since a common dictum is that names and conceptual consciousnesses engage their objects similarly.) (PH) verify change in note
མིང-གཟུགས	the fourth of the twelve links of dependent arising
མིང-དང-གཟུགས	the fourth of the twelve links of dependent arising
མཁན-པོ	Comment: This word often means "abbot," but it also refers to someone versed in a topic.
མཁས	Comment: smra mkhas = vAk-karaNa(MSA).
མཁྲིས	Comment: In the Tibetan medical system, one of the three primary elements promoting health, when balanced, and disease, when imbalanced--the other two being wind (rlung) and phlegm (bad kan). The three are called the three problematics (nyes pa, doza), often mistranslated as "humours," which are necessarily fluids whereas wind is not a fluid.
མཁྲིས-པ	bile; Comment: One of the three problematics (nyes pa; doza), often translated as "humours," but the "humours" are fluids as in the four elemental fluids of the body--blood, phlegm, black bile, and yellow bile. In Buddhist medicine the three problematics, which, when in balance, promote health and, when imbalanced, promote disease, are wind (rlung), bile (mkhris pa), and phlegm (pad kan).
མཁྱེན-པ	wisdom; Comment: Equivalents taken from Grounds and Paths (sa lam) are path of liberation (that lam), exalted wisdom (ye shes), clear realizer (mngon rtogs), mother (yum), vehicle (theg pa).
མཁྱུད	Comment: dpe mkhyud means to hold onto books and thus an unwillingness to lend books; this is how it comes to mean miserliness with respect to the doctrine.
མནར-མེད	Comment: Name of the worst hell.
མངའ-ཐང	get: dbang thang, mnga' thang, lung rta, la g.yog, etc.; add to other entries SW added this record
མངོན-མཐོ	Comment: The term mngon mtho (abhyudaya) refers to elevated (ud) states, i.e., the happinesses, of humans and gods relative to animals, hungry ghosts, and hell-beings within the five types of lives in cyclic existence.
མངོན-སྤྱོད	mngon spyod seems to be tantric activities of the slaying/liberation type which came under attack in Tibet periodically; can we indicate this somehow? Tshig mdzod 690.1 fierce activities—activities which slay/ liberate enemies, spirits, and obstructors through the power of mantra drag po'i las te sngags mthus dgra bo dang gdon bgegs rnams bsgral ba'i las (SW)
མངོན-སུམ	one of the seven types of knowledge and awareness (blo rig); for others, see blo rig
མངོན-པའི-ང-རྒྱལ	Comment: This is one of seven prides which NAgArjuna mentions in his Precious Garland, stanzas 407-412: pride of selfhood (bdag nyid nga rgyal), exceeding pride (lhag pa'i nga rgyal), pride beyond pride (nga rgyal las kyang nga rgyal), pride of thinking I (nga'o snyam pa'i nga rgyal), pride of conceit (mngon pa'i nga rgyal), erroneous pride (log pa'i nga rgyal), pride of inferiority (dman pa'i nga rgyal).
མངོན-པར-རྟོགས-པ	clear realization; Comment: See mngon par rtogs pa'i rgyan. In the context of AsaGga's Compendium of Ascertainments (Tokyo sde dge, sems tsam, vol. 8 (zhi), 279b.1), Jik-may-dam-chö-gya-tso (Port of Entry, 410.3) identifies these as the six — contemplation, faith, ethics, true knowledge of clear realization, true knowledge arisen from the finality of clear realization, and final clear realization — and thus as the path.
མངོན-པར-ཤེས-པར-གྱུར-པས	Check entry? (T)
མངོན-པར-མཐོ-བ	abhyudaya; Comment: The term mngon par mtho ba (abhyudaya) refers to elevated (ud) states, i.e., the happinesses, of humans and gods relative to animals, hungry ghosts, and hell-beings within the five types of lives in cyclic existence.
མངོན-དུ-བསྙེན-པ-བྱེད-པ	Comment: The word bsnyen pa is taken as meaning nye ba, coming close or approaching (the state of a deity).
མངོན-བརྗོད-ཀྱི-བག-ཆགས	abhilApavAsanA; predispositions of verbalization; Comment: There are four types of predispositions in Ge-luk-b#a explanations of Mind-Only (sems tsam): predispositions of [perceptions of] similar type (rigs mthun gyi bag chags); abhilApavAsanA (mngon brjod kyi bag chags, abhilApavAsanA); predispositions of the view of self (bdag lta'i bag chags, AtmadRøtivAsanA); predispositions of the branches of cyclic existence (srid pa'i yan lag gi bag chags, bhavAGgavAsanA.
མངོན-སུམ-དུ-མ-མཛད-པ	Check entry (T) SW changed "mdzed" to "mdzad".
མངོན-སུམ-དུ-མཛད-པ	SW added this entry.
མངོན-སུམ-འཁྲུལ-རྒྱུ-ཅན	Comment: An illustration is a sense direct perception apprehending the color of a mirage which directly generates a superimposition apprehending the mirage as water (smig rgyu la chur 'dzin pa'i sgro 'dogs dngos su skyed par byed pa'i smig rgyu'i kha dog'dzin pa'i dbang mngon).
མངོན-སུམ-ལ-སྣང-བ-གང-ཞིག-སོ-སོར-མི-སྣང-བ	definition of one substantial entity (rdzas gcig)
མངོན-སུམ-གྱིས-དྲངས-པའི-རྟོག-པ-བཅད-ཤེས	one of the two types of conceptual subsequent cognizer (rtog pa bcad shes), the other being non-conceptual; see rtog pa bcad shes\nCheck English (T)
མངོན-སུམ-དང-པོ-པ	one of the three types [according to one division] of direct perceiver arisen from another (gzhan las nges kyi tshad ma)
མངོན-སུམ-རྟོགས-མེད	(PH) The entry in (GD:482) is actually mistaken. The passage says "...rtogs pa can" but should read "...rtogs med"
མངོན-སུམ-གིས-དྲངས-པའི-རྟོག-པ-བཅད-ཤེས	Comment: This is one of the two types of conceptual subsequent cognition (rtog pa bcad shes): conceptual subsequent cognition induced by direct perception (mngon sum gis drangs pa'i rtog pa bcad shes), an illustration of which is fix; and conceptual subsequent cognition induced by inference, an illustration of which is the second moment of an inference realizing that sound is impermanent (sgra mi rtag rtogs kyi rjes dpag skad cig gnyis pa).
མངོན-སུམ-བཅད-ཤེས	direct subsequent cognizer; one of the two types of subsequent cognizer (bcad shes), the other being conceptual direct subsequent cognizer (rtog pa bcad shes)
མངོན-སུམ-གྱི-སྣང-ཡུལ	For synonyms and examples see: {དངོས་པོ}
མངོན-སུམ-གྱི-ཚད-མ	one of the two types of direct perceiver (tshad ma), the other being inferential direct perceiver (rjes su dpag pa'i tshad ma)
མངོན-སུམ-གྱི-ཚད-མས-དངོས-སུ-རྟོགས-པར-བྱ-བ	Comment: definition of manifest phenomenon (mngon gyur) in Established Base (gzhi grub)\nCheck English (T) Is object of cognition the English of "rtogs par bya ba"? (SW)
མངོན-འདོད-ཀྱི-རྟོག-པ	Comment: An instance of this is a conceptual consciousness wishing for a future object at the present time (de ring gi dus su ma 'ongs pa'i don mngon par 'dod pa'i rtog pa). This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang).
མཉམ-བཞག-སྣང-བཅས	Comment: This comes from systems that hold that even during direction perception of emptiness the phenomena qualified by emptiness still appear.
མཉམ-བཞག-སྣང-མེད	Comment: This comes from systems that hold that the objects qualified by emptiness do not appear during meditative equipoise. (PH) I added the English contextually from the previous entry.
མཉམ-པ-ཉིད-ལ-དགོངས-པ	Comment: dgongs pa (abhiprAyA) is often mistranslated as "intention," but this does not accord with the following:\nFour Thoughts\nThinking of sameness (mnyam pa nyid la dgongs pa, samatAbhiprAya)\nThinking of another meaning (don gzhan la dgongs pa, arthAntarAbhiprAya)\nThinking of another time (dus gzhan la dgongs pa, kAlAntarAbhiprAya)\nThinking of a person's attitude (gang zag gi bsam pa la dgongs pa, pudgalAntarAbhiprAya)\n\nFour Intentions:\nIntending entry [into the teaching] (gzhug pa la ldem por dgongs pa, avatAranAbhisaMdhi)\nIntending the [three] characters (mtshan nyid la ldem por dgongs pa, lakSaNAbhisaMdhi)\nIntending an antidote (gnyen po la ldem por dgongs pa, pratipakSAbhisaMdhi)\nIntending translation (sbyor ba la ldem por dgongs pa/ bsgyur ba la ldem por dgongs pa, pariNAmAbhisaMdhi)\n\n"Thought" (dgongs pa) is [posited] from the viewpoint of indicating the basis in [Buddha's] thought, "Thinking of this, [such and such] was said," and "intention" (ldem dgongs) is [posited] from the viewpoint of indicating purpose, "[Such and such] was said for this purpose." Since thought and intention are posited in different ways with respect to one non-literal sUtra, [a sUtra having an] intention and [a sUtra having a] thought must be asserted as mutually inclusive. The basis in [Buddha's] thought is just what the Teacher has set in [his] mind and is not relative to another, the trainee, and purpose definitely must rely on another, the trainee, since it is for sake of taking care of another. See Ann, dngos, 134.5.
མཉན-ཐོས-ཀྱི-སྒོམ-ལམ-ཆུང-ངུའི-ཆུང-ངུ-ནས-ཆེན-པོའི-ཆེན-པོའི-ཆེན-པོའི-བར-དགུ	See: {ཉན་ཐོས་ཀྱི་སྒོམ་ལམ་བར་ཆད་མེད་ལམ}
མོ-མོག	a type of dumplings with meat inside\nIs this spelt "mog mog" ? (T)
མོན-སྣེ-དམར-པོ	(PH) Clark's _The Quintessence Tantras_ (p.194) identifies mon sne as "the dark read 'New Year' flower (mon chenopodium)" Add? *Note: lo gsar me tog added with same content.
མོས	see: {མོས་པ}
མོས-པ	one of the five determining mental factors (yul nges lnga, paJca viSaya-pratiniyama); for others see: {ཡུལ་ངེས}
མོས-སྤྱོད	see: {མོས་སྤྱོད་པའི་ས}
མོས-པའི-སྤྱོད-པའི-ས	see: {མོས་སྤྱོད་པའི་ས}
མོས-པ-ཡིད-བྱེད	third of the preparations (nyer bsdogs) for the first concentration (bsam gtan), the "not unable" (mi lcogs med)
མོས-པ-ཡིད-ལ-བྱེད-པ	third of the preparations (nyer bsdogs) for the first concentration (bsam gtan), the "not unable" (mi lcogs med)
མོས-སྤྱོད-ཀྱི-སས-བསྡུས-པའི-བྱང-སེམས-ཀྱི-མཁྱེན-པ	Comment: This is the definition of the path of a Bodhisattva who is an ordinary being (byang sems so skye'i lam).
མོས-སྤྱོད-པའི-ས	includes the first two paths, the path of accumulation (tshogs lam, saMbhAra-mArga) and the path of preparation (sbyor lam, prayoga-mArga)
མོས-པས-སྤྱོད-པ-ལ-གནས-པའི-བྱང-ཆུབ-སེམས-དཔའ	see: {མོས་སྤྱོད་པའི་ས}
མོས-པས-སྤྱོད-པའི-ས	see: {མོས་སྤྱོད་པའི་ས}
མཐའ-དཔྱད	What about "mtha' dpyod"—is it a synonym? is this entry a mistake, or should there be a separate entry?
མཐའ-གཅིག-ཏུ-ཞེན-པ	one of the six types of mental engagement (yid dpyod); for others see: {ཡིད་དཔྱོད}
མཐར-ཐུག	SW added Eng "complete"
མཐར-ཐུག-པ	SW added Eng "complete"
མཐར-ཐུག-གི-སེམས-ཙམ	Comment: A syncretic system propounded by Dol-b#o-b#a S#hay-rap-gyel-tsen. Synonyms include Ultimate Mind-Only (don dam pa'i sems tsam), Great Middle Way (dbu ma chen po), and Supramundane Mind-Only ('jig rten las 'das pa'i sems tsam).
མཐོ-གླིང	Comment: location where Atisha wrote the Lamp for the Path to Enlightenment in 1042-1043.
མཐོན-པོ	Example originally said ... mthong por ... (T)
མཐོང-ལམ	path of seeing; Comment: This is one of the five paths (lam): path of accumulation (tshogs lam); path of preparation (sbyor lam); path of seeing (mthong lam); path of meditation (sgom lam); and path of no more learning (mi slob lam).
