ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
ཀ-ལན-ད-ཀའི-གནས	 Kalandakanivāpa|Kalandakanivāpa 
རི-ནག-པོ	 Kālaparvata|Kālaparvata 
བུམ-པའི-ལྟོ	 Kalaśodara|Kalaśodara 
ཐིག-ནག-པོ	 Kālasūtra|Kālasūtra 
ནག-མོ	 Kālī | Śyāmā| Śyāmā |Kālī 
དུས-ཅན	 Kālika|Kālika 
སྙིགས-དུས	 Kaliyuga|Kaliyuga 
འཆར-བ-པོ	 Udāyin| Udāyin |Udāyin 
ནག-པོ-འཆར-ཀ	 Kālodāyin|Kālodāyin 
འཆར-ཀ-ནག-པོ	 Kālodāyin|Kālodāyin 
འཆར-བྱེད-ནག-པོ	 Kālodāyin|Kālodāyin 
དགེ-བའི-བཤེས-གཉེན	 Kalyāṇamitra | Spiritual benefactor | Spiritual friend | Spiritual mentor | Virtuous spiritual friend| Virtuous spiritual friend |Spiritual benefactor 
འདོད-ལྷ	 Kāmadeva|Kāmadeva 
ཀ-མ-ལ-ཤཱི-ལ	 Kamalaśīla| Kamalaśīla |Kamalaśīla 
པད-མའི-འདབ-མ-དྲི-མ-མེད-པ-སྐར-མའི-རྒྱལ-པོ-མེ-ཏོག-ཀུན-ཏུ-རྒྱས-པ	 Kamala­dala­vimala­nakṣatra­rāja­saṃkusumitābhi­jña|Kamala­dala­vimala­nakṣatra­rāja­saṃkusumitābhi­jña 
འདོད-མཆོག	 Kāmaśreṣṭhī|Kāmaśreṣṭhī 
དུང	 Kambu | Shell|Kambu 
འདོད-པའི-དབང-ཕྱུག	 Kāmeśvara|Kāmeśvara 
འདོད-པའི-དབང-ཕྱུག-མ	 Kāmeśvarī|Kāmeśvarī 
འདོད-པ-ཅན	 Kāminī|Kāminī 
འུག-པ	 Kampila|Kampila 
གསེར-ཐུབ	 Kanaka | Kanakamuni| Kanakamuni |Kanaka 
གསེར	 Kanaka | Suvarṇa| Suvarṇa |Kanaka 
དབང-ཕྲེང-མ	 Kañcanamālā|Kañcanamālā 
ཚེར-མ	 Kaṇṭaka|Kaṇṭaka 
བསྔངས-ལྡན	 Kaṇṭhaka|Kaṇṭhaka 
གཉའ-བའི-ལག-ཅན	 Kaṇṭhapāṇinī|Kaṇṭhapāṇinī 
ཐོད-པ-ཅན	 Kāpālika|Kāpālika 
སེར-སྐྱའི-གྲོང	 Kapilavastu|Kapilavastu 
སེར-སྐྱ	 Kapila | Kapilavastu | Pale yellow | Piṅgala| Piṅgala |Pale yellow 
སེར-སྐྱའི-གནས	 Kapilavastu| Kapilavastu | Kapilāhvaya |Kapilāhvaya 
མིག-སེར-པོ	 Kapilākṣa|Kapilākṣa 
སེར-སྐྱེའི-གནས	 Kapilavastu|Kapilavastu 
མི-ཐོད-ཅན	 Kāpili|Kāpili 
སྤྲེའུ-གནས	 Kapittha|Kapittha 
ཀ-ཕི-ན	 Kapphiṇa|Kapphiṇa 
ཀ-པི-ན	 Kapphiṇa|Kapphiṇa 
བུམ-ལྟོ	 Karaśodara|Karaśodara 
ཀར-ཀ-ཏེ	 Karkaṭī|Karkaṭī 
ཀརྨ-པ	 Karmapa|Karmapa 
མི-དགེ-བ-བཅུའི-ལས-ཀྱི-ལམ	 Ten unwholesome courses of karma|Ten unwholesome courses of karma 
དགེ-བ-བཅུའི-ལས-ཀྱི-ལམ	 Ten wholesome courses of karma|Ten wholesome courses of karma 
ལས-ཀྱི-གཞི	Karmic circumstances
ཤ-ཟ-རྣ-སྒྲོགས	 Karṇapiśācī|Karṇapiśācī 
ཀར-ནི	 Karnikara|Karnikara 
དོང-ཀ	 Karnikara|Karnikara 
དཀར-ནི	 Karnikara|Karnikara 
ལག-ན-གཞོང-ཐོགས	 Karoṭapāṇi|Karoṭapāṇi 
རས-བལ-ཅན-གྱི-ཚལ	Karpāsī forest
ཞོ	 Karṣa| Karṣa |Karṣa 
གྲི-གུག	Kartri knife
སྟོན-ཟླ-ཐ-ཆུང	 Kārttika| Kārttika |Kārttika 
སྟོན-ཟླ-ཐ-ཆུངས	 Kārttika|Kārttika 
སྟོན-ཟླ-ཐ-ཆུངས-སྨིན-དྲུག	 Kārttika|Kārttika 
རྟག-ཏུ-སྙིང-རྗེ-སེམས	 Karuṇāvicintin|Karuṇāvicintin 
ཀ-ཤི	 Kāśi | Kāśī| Kāśī |Kāśi 
ཀ-ཤི-ཀ-ནས-བྱུང-བའི-གོས	Kaśika cloth
ཤིང-ཐགས-ཅན	 Kāṣṭhavāṭa|Kāṣṭhavāṭa 
འོད-སྲུང	 Kāśyapa| Kāśyapa |Kāśyapa 
ལྟེང-རྒྱས-འོད-སྲུང	 Urubilvā Kāśyapa | Uruvilva Kāśyapa | Uruvilvā­kāśyapa| Uruvilvā­kāśyapa |Urubilvā Kāśyapa 
འདྲོབ-སྐྱོང-གི-བུ-རྫོགས-བྱེད	 Pūraṇa Kāśyapa| Pūraṇa Kāśyapa |Pūraṇa Kāśyapa 
འོད-སྲུང-རྫོགས-བྱེད	 Purāṇa Kāśyapa| Purāṇa Kāśyapa |Purāṇa Kāśyapa 
ཀ-ཏ-ཀ	 Kaṭaka|Kaṭaka 
ཀ-ཏ	 Kaṭaka|Kaṭaka 
ལུས-སྲུལ-པོ	 Kaṭapūtana|Kaṭapūtana 
ཀ-ཏྱའི-བུ	 Katyāyanī| Katyāyanī | Kātyāyana |Kātyāyana 
ཀཱ-ཏྱཱའི-བུ	 Kātyāyana| Kātyāyana |Kātyāyana 
ཀཱ-ཏྱཱ-ཡ-ནའི-བུ-ཆེན-པོ	 Mahākātyāyana| Mahākātyāyana |Mahākātyāyana 
ཀཽ-ཎྜི-ནྱ	 Kauṇḍinya|Kauṇḍinya 
ཀཽཎཌི-ཉ	 Kauṇḍinya| Kauṇḍinya |Kauṇḍinya 
ཀཽཎ-ཌི-ཉ	 Kauṇḍinya| Kauṇḍinya |Kauṇḍinya 
ཀཽཎྜིནྱ	 Kauṇḍinya|Kauṇḍinya 
ཀཽཎཌི-ཉ-རིགས	 Kauṇḍinyagotra|Kauṇḍinyagotra 
ཀོའུ-ར-པ	 Kaurava|Kaurava 
ཀཽ-ཤཱམ-བཱི	 Kauśāmbī|Kauśāmbī 
ཀཽ-ཤི-ཀ	 Kauśika| Kauśika |Kauśika 
གསུས-པོ-ཆེ	 Kauṣṭhila | Koṣṭhila | Mahākauṣṭhila| Mahākauṣṭhila |Kauṣṭhila 
གསུས-ཆེན	 Kauṣṭhila|Kauṣṭhila 
ཀ-བ-དཔལ-བརྩེགས	 Kawa Paltsek|Kawa Paltsek 
དམ-བཞག-པ	Keeper of the seals
ཕྱག-རྒྱ-པ	Keeper of the seals
རལ-པ-ཅན	 Keśarin | Ralpachen | Śikhin| Śikhin |Keśarin 
སྐྲ-ཅན-མ	 Keśinī|Keśinī 
སྐྲ-ཅན	 Keśinī|Keśinī 
རྒྱུད-གསུམ-པ	 Three-stringed lute| Three-stringed lute |Kettledrum 
ཁར-རྔ	 Wood kettledrum|Wood kettledrum 
འཁར-བའི-རྔ	 Small kettledrum| Small kettledrum |Small kettledrum 
དུ-བ	 Ketu|Ketu 
དཔུང-རྒྱན-སྟོབས	 Keyūrabala|Keyūrabala 
སེང-ལྡེང-ནགས-པ	 Khadiravaṇika|Khadiravaṇika 
ཁ-ལ-ཏི-ཀ	 Khalatika|Khalatika 
བོང-རྣ	 Kharakarṇa|Kharakarṇa 
བོང-བུའི-རྣ-ཅན	 Kharakarṇa|Kharakarṇa 
ཕྲག-རྩུབ	 Kharaskandha|Kharaskandha 
ཁ-ཤ	 Khasa|Khasa 
ཨུ-ཤི-ར	Khaskhas grass
ཁ-ཊྭཱཾ-ག	 Khaṭvāṅga|Khaṭvāṅga 
ནམ-མཁའི-རྡོ-རྗེ	 Khavajra|Khavajra 
མཁས-གྲུབ-རྗེ	Khedrup Jé
སྲན-མ	 Kidney bean|Kidney bean 
མོན-སྲན-ན-གུ	Kidney bean
གསད-པ	Killing
སྲོག-གཅོད-པ	 Killing of living creatures|Killing of living creatures 
མི-འམ-ཅི	 Kiṃnara| Kiṃnara |Kiṃnara 
མིའམ-ཅི	 Kinnara| Kinnara | Kiṃnara |Kiṃnara 
མི-འམ-ཅི-མོ	 Kiṃnarī|Kiṃnarī 
ཀིམ-པ-ལ	 Kimpala|Kimpala 
སྐྱེས-བུ-འམ-ཅི	 Kiṃpuruṣa|Kiṃpuruṣa 
སྐྱེས-བུ-འམ	 Kiṃpuruṣa|Kiṃpuruṣa 
སྙིང-རྩེ	Kindness
འོད-ཟེར-རབ-ཏུ-འགྱེད-པའི-རྒྱལ-པོ	 King of Light Diffusion|King of Light Diffusion 
བཀོད-པ-མང-པོའི-རྒྱལ-པོ	King of Many Arrangements
སྒྲ-དབྱངས-མངོན-པར-སྒྲོགས-པའི-རྒྱལ-པོ	King of Openly Proclaiming Melody
གྲགས-པའི-སྒྲ-དབྱངས-ཀྱི-རྒྱལ-པོ	King of Renowned Melodious Sounds
སྒྲ-དབྱངས-རྣམ-པར-དག-པའི-རྒྱལ-པོ	King of Utterly Clear Melody
འཇིག-རྟེན-གྱི-དཀྱིལ-འཁོར-དབང-པོའི-རྒྱལ-པོ	 King who is Lord of the World's Orb|King who is Lord of the World's Orb 
ཨུཏ-པ-ལ-རྒྱས-པ-བསུང-གི-རྒྱལ-པོ	King whose Fragrance is that of a Blossoming Utpala
གྲགས-པ	 Kīrti | Yaśas| Yaśas |Kīrti 
པུས-མོའི-ལྷ-ང-དག-མཛེས-པར-གྱུར-པ	Kneecaps are elegant
ཤེས-པ-པོ	Knower
རིག-མ	 Knowledge| Vidyā |Knowledge 
རིག-པ-འཛིན-པ	 Knowledge-holder | Vidyādhara| Vidyādhara |Knowledge-holder 
རྗེས-སུ-རྟོགས-པའི-ཤེས-པ	 Subsequent knowledge|Subsequent knowledge 
ཀུན-རྫོབ-ཤེས-པ	 Knowledge of relative appearances| Knowledge of relative appearances |Knowledge of relative appearances 
ཆོས-ཤེས-པ	 Knowledge of phenomena| Knowledge of phenomena |Knowledge of phenomena 
ཇི-ལྟ-བ-བཞིན-ཤེས-པ	 Knowledge that is definitive|Knowledge that is definitive 
སྡུག-བསྔལ-ཤེས-པ	 Knowledge of suffering| Knowledge of suffering |Knowledge of suffering 
རྣམ-པར-གྲོལ-བའི-ཤེས-པ	 Knowledge of liberation| Knowledge of liberation |Knowledge of liberation 
ཕ-རོལ-གྱི-སེམས-ཤེས-པ	 Knowledge of other minds|Knowledge of other minds 
ལམ-ཤེས-པ	 Knowledge of the path|Knowledge of the path 
ཤེས-པར-བྱ-བ	 Object of knowledge | Should be expected|Object of knowledge 
བརྟན-མཁས-ཀྱི-ཡོན-ཏན	 Qualities of stability and knowledge|Qualities of stability and knowledge 
རྣམ-པར-གྲོལ-བའི-ཡེ-ཤེས-མཐོང-བ	 Knowledge and vision of liberation| Knowledge and vision of liberation |Knowledge and vision of liberation 
ཕྲ-བ-ལ-འཇུག-པའི-མཁྱེན-པ	 Knowledge that engages in subtlety|Knowledge that engages in subtlety 
འོད-ཀྱིས-རྣམ-པར-རྩེ-བ-མངོན-པར-ཤེས-པ	 Sublime Knowledge Displayed with Luminosity| Sublime Knowledge Displayed with Luminosity |Sublime Knowledge Displayed with Luminosity 
ཀུན-འབྱུང-བ-ཤེས-པ	 Knowledge of the origin of suffering| Knowledge of the origin of suffering |Knowledge of the origin of suffering 
མི-སྐྱེ-བ-ཤེས-པ	 Knowledge that contaminants will not be regenerated|Knowledge that contaminants will not be regenerated 
ཟད-པར-ཤེས-པ	 Knowledge of the extinction of contaminants|Knowledge of the extinction of contaminants 
ཆོམ-རྐུན-པར-གྲགས-པ	Known bandit or thief
ཀོ-ཀི-ལ	 Kokila|Kokila 
པང-ནས-སྐྱེས	 Kolita|Kolita 
ཀོ-ས-ལ	 Kosala| Kosala | Kośala |Kośala 
སྟོད-རིངས	 Koṣṭhila|Koṣṭhila 
འཁོར-བ-འཇིག	 Krakucchanda| Krakucchanda |Krakucchanda 
ལོག-པར-དད-སེལ	 Krakucchanda| Krakucchanda |Krakucchanda 
ལོག-པར-དང-སལ	 Krakucchanda| Krakucchanda |Krakucchanda 
ཁོར-བ-འཇིག	 Krakucchanda|Krakucchanda 
ལོག-དད-སེལ	 Krakucchanda|Krakucchanda 
བྱ-རྒྱུད	 Kriyātantra|Kriyātantra 
རྒྱང-གྲགས	 Krośa | League| League |Krośa 
དགེ-བསྙེན-ནག-པོའི-མཆོག	 Layman Kṛṣṇa| Layman Kṛṣṇa |Layman Kṛṣṇa 
གནག-དང-སྟབས-མྱུར-སྲིད	 Kṛṣṇā Draupadī|Kṛṣṇā Draupadī 
གཽ-ཏམ-ནག-པོ	 Kṛṣṇagautama|Kṛṣṇagautama 
ནག-པོ-རྡོ-རྗེ	 Kṛṣṇavajra|Kṛṣṇavajra 
སྨིན-དྲུག	 Kṛttikā|Kṛttikā 
གཤེད-བྱེད	 Kṛtya | Kṛtyā| Kṛtyā |Kṛtya 
རྒྱལ-རིགས	 Kṣatriya | Royal class | Warrior class|Warrior class 
བདེ-བས-བྱིན	 Kṣemadatta|Kṣemadatta 
ཞིང-སྙོམས-བརྒྱན	 Kṣetralaṃkṛta|Kṣetralaṃkṛta 
ཞིང-རྣམ-པར-སྦྱོང	 Kṣetra­viśodhana|Kṣetra­viśodhana 
སའི-སྙིང-པོ	 Kṣitigarbha| Kṣitigarbha |Kṣitigarbha 
ལུས-ངན	 Kubera| Kubera |Kubera 
ཀུ-བེ-ར	 Kubera| Kubera |Kubera 
ལུས-ངན-པོ	 Kubera|Kubera 
ཀུ-བེ-རའི-སྙིང-དུ-སྡུག-མ	 Kuberakāntā|Kuberakāntā 
སའི-རྩ-ལག	Kuiji
ཀུ-ཀུ-རི-པ	 Kukkuripa|Kukkuripa 
གཞོན-ནུ	 Kumāra|Kumāra 
འཚོ-བྱེད-གཞོན-ནུ	Kumārabhṛta, the physician
ཀུམ-བྷ-ཀ	 Kumbhaka|Kumbhaka 
བུམ-པ-ཅན	 Kumbhaka|Kumbhaka 
རྫ-བྱེད-མ	 Kumbhakārī|Kumbhakārī 
གྲུལ-བུམ	 Kumbhāṇḍa | Kūṣmāṇḍa| Kūṣmāṇḍa |Kumbhāṇḍa 
ཡི-དགས-གྲུལ-བུམ	 Preta kumbhāṇḍa| Preta kumbhāṇḍa |Preta kumbhāṇḍa 
ཆུ-སྲིན	 Kumbhīra | Makara| Makara |Kumbhīra 
ཕན-བུམ-པའི-སྟོ	 Kumbhodara|Kumbhodara 
ཀུ-ན-ལ	Kunāla bird
ཀུཎྜ-ལ-ཧ-རི-ཎཱི	 Kuṇḍalahāriṇī|Kuṇḍalahāriṇī 
གླང-པོ	 Kuñjara | Mātaṅga| Mātaṅga |Kuñjara 
ཀུན-ཐིར	 Kuṇṭḥīrā|Kuṇṭḥīrā 
མདུང-ཅན	 Kuntī|Kuntī 
སྒྲ-མི-སྙན	 Kuru | Uttarakuru| Uttarakuru |Kuru 
ཀུ-རུ-ཀུ-ལླཱ	 Kurukullā|Kurukullā 
ཀུ-རུ-ཀུལ-ལེ	 Kurukullā|Kurukullā 
ཀུ-ཤི-ན	 Kuśinagara|Kuśinagara 
ཕ-ཐ-སེ	 White gourd melon|White gourd melon 
ཀུ-མུད-ལ-གནས-མ	 Kusumanilayā|Kusumanilayā 
མེ-ཏོག-དཔལ	 Kusumaśrī|Kusumaśrī 
མེ-ཏོག-ལ-གནས-མ	 Kusumaśrī|Kusumaśrī 
མེ-ཏོག-གི-དབང-ཕྱུག-མ	 Kusumeśvarā|Kusumeśvarā 
སོ-བརྩེགས	 Kūṭadantī|Kūṭadantī 
སྤྱིལ-བུ-ཅན	 Kuṭigrāmaka|Kuṭigrāmaka 
ཀུ-ཙ	 Kutsa|Kutsa 
དམངས-རིགས	 Śūdra| Śūdra |Laboring class 
རྒྱ-སྐྱེགས	Lac
ཡིད-མི-ཆེས	Lack conviction
མཚན-ཉིད-མེད-པ	Lack of defining characteristics
འོད-དང-བྲལ-བ	 Lacking luminosity|Lacking luminosity 
མཚན-བརྩེགས-ཡང-དག-འདས	 Lakṣaṇa­kūṭa­samatikrānta|Lakṣaṇa­kūṭa­samatikrānta 
མཚན-གྱིས-ཀུན-ཏུ-བརྒྱན-པ	 Lakṣaṇa­samalaṁkṛta|Lakṣaṇa­samalaṁkṛta 
དཔལ-མོ	 Lakṣmī|Lakṣmī 
ཕུན-ཚོགས-མངའ-བ	 Lakṣmī|Lakṣmī 
བཀྲ-ཤིས-མ	 Lakṣmī|Lakṣmī 
ཕུན-སུམ-ཚོགས-པ-འགུགས-པའི-དཔལ	 Lakṣmyākarṣaṇa­śrī|Lakṣmyākarṣaṇa­śrī 
བརྐྱང-མ	 Lalanā|Lalanā 
རྩེ-བ-བཀོད-པ	 Lalitavyūha|Lalitavyūha 
འཕྱང-མ	 Lambā|Lambā 
བེའུ-ཕྲུག	Lambswool
ཐེང-པོ	Lame
གློག-གི-སྒྲོན-མ	 Lightning Lamp|Lightning Lamp 
དྲི-མ-མེད-པའི-སྒྲོན-མ	 Taintless Lamp|Taintless Lamp 
ཉི-མའི-སྒྲོན-མ	 Lamp of the Sun| Lamp of the Sun |Lamp of the Sun 
འོད-ཟེར-རྒྱལ-པོའི-སྒྲོན-མ	 Lamp of the Light King| Lamp of the Light King |Lamp of the Light King 
སྐད	Language
བྲི-ཧ-ཏི	Large eggplant
རས-ཡུག-ཆེན	 Waist cloth|Large piece of cotton 
འབྲས	 Prone to pustules|Large pustules 
རིམས	Latent fever
དགེ-བསྙེན	 Lay devotee | Layman | Male lay vow holder| Male lay vow holder | Upāsaka |Lay devotee 
ཅི-ཏྲ-ཀ	Leadwort
ཅི-ཏྲ-དམར-པོ	 Red leadwort|Red leadwort 
དཔག-ཚད	 League | Yojana| Yojana |League 
སྲན-ཆུང	Lentils
ཤ-བཀྲ	 Morbid pallor | White leprosy| White leprosy |Leprosy 
བྱ-བ-བྱས-པའི-ས	Level of [an arhat’s] spiritual achievement
འདོད-ཆགས-དང-བྲལ-བའི-ས	Level of dispassion
བྱང-ཆུབ-སེམས-དཔའི-ས	Level of the bodhisattvas
རང-སངས-རྒྱས-ཀྱི-ས	Level of the pratyekabuddhas
ལྷ-ས	Lhasa Kangyur
ཞོལ	Lhasa Kangyur
རྣམ-པར-གྲོལ	Liberated
མ-བཅིངས-མ-གྲོལ-བ	 Neither fettered nor liberated|Neither fettered nor liberated 
ནམ-མཁའ-ལྟར-ཆགས-པ-མེད-ལ-རྣམ-པར-གྲོལ-ཞིང-གོས-པ-མེད-པ	 Unattached, Liberated, and Uncovered Like Space| Unattached, Liberated, and Uncovered Like Space |Unattached, Liberated, and Uncovered Like Space 
མྱ-ངན-ལས-འདས-པ	 Liberation | Nirvāṇa| Nirvāṇa |Liberation 
གྲོལ-བ	Liberation
ཐར-པ	Liberation
རྣམ-ཐར-སྒོ-གསུམ	 Three gateways to liberation|Three gateways to liberation 
རྣམ-པར-ཐར-པའི-སྒོ-གསུམ	 Three gateways of liberation|Three gateways of liberation 
རྣམ-པར-ཐར-པ-གསུམ	 Three gateways of liberation|Three gateways of liberation 
རྣམ-པར-ཐར-བ	 Liberations|Liberations 
ཐབས	 Skillful means| Skillful means |Liberative art 
ཇིགས-སྒྲོལ	Liberator from Fear
ལིད-ཙ-བཱི	 Licchavi|Licchavi 
ལི-ཙཚ-བི	 Licchavi people| Licchavi people |Licchavi people 
གསོ-བ	Life
ཚེ	 Life span|Life span 
སྲོག-གི-དབང-པོ	 Power of life| Power of life |Power of life 
དགག-དབྱེ	Lifting restrictions
འོད-ཆུང	 Limited Light | Parī­ttābha| Parī­ttābha |Limited Light 
བཻ-དུ-རྱ-སྣང-བ	 Vaiḍūrya Light|Vaiḍūrya Light 
ལེགས-པར-སྣང-བ	 Perfect Light|Perfect Light 
འདྲི-མེད-འོད	 Stainless Light| Stainless Light |Stainless Light 
འོད-བཟང-པོའི-འཇིག-རྟེན	 World of Noble Light| World of Noble Light |World of Noble Light 
ཟླ-བ-ཉ-བའི-འོད-དྲི-མ-མེད-པ	 Taintless Light of the Full Moon| Taintless Light of the Full Moon |Taintless Light of the Full Moon 
ཉི-མའི-སྙིང-པོ-འོད-ཟེར-དྲི-མ-མེད-པ	 Stainless Light, the Essence of the Sun| Stainless Light, the Essence of the Sun |Stainless Light, the Essence of the Sun 
མེ-ཏོག-པདྨ-ལྟ-བུ	 Like a Lotus Flower|Like a Lotus Flower 
སྔོན-གྱི-མཐའ	Limit of past time
ཉི-ཚེ-བའི-སེམས-ཅན	Limited number of sentient beings
ཕྱི-མའི-མཐའ	Limits of future time
ཟར-མའི-རས	Linen
ཕྱག-གི-རི-མོ-མཐོ-བ-དག	Lines of their palms are extended
ལིང-ག	 Penis| Penis |Penis 
རྡོ-རྗེ	 Penis | Vajra| Vajra |Penis 
རྟགས	 Liṅga|Liṅga 
འགྲམ-པ-སེང-གེའི-དང-འདྲ-བ	Lion-like cheeks
སེང-གེ-རྣམ-པར-རྩེ-བ	Lion’s Play
སྒྲོས-བིམ-པ-ལྟར-དམར-བ	Lips are red like the balsam fruit
སྤྱི-སྡོམ	List of contents
ཉིད-ཀྱང-མི-གནས-པར-འདུག-པ	Live independently
སྐྱེ-བ-པོ	Living creature
སྲོག	Living organism
སངས-རྒྱས-སྤྱན	 Locanā|Locanā 
